joint_index,joint_name,default_qpos_rad,kp,kd,tau_limit_nm,source_config
0,Left_Hip_Pitch,-0.2,200.0,5.0,45.0,robot_learning.assets.booster.BOOSTER_T1_CFG
1,Left_Hip_Roll,0.0,200.0,5.0,30.0,robot_learning.assets.booster.BOOSTER_T1_CFG
2,Left_Hip_Yaw,0.0,200.0,5.0,30.0,robot_learning.assets.booster.BOOSTER_T1_CFG
3,Left_Knee_Pitch,0.42,200.0,5.0,60.0,robot_learning.assets.booster.BOOSTER_T1_CFG
4,Left_Ankle_Pitch,-0.23,50.0,1.0,24.0,robot_learning.assets.booster.BOOSTER_T1_CFG
5,Left_Ankle_Roll,0.0,50.0,1.0,15.0,robot_learning.assets.booster.BOOSTER_T1_CFG
6,Right_Hip_Pitch,-0.2,200.0,5.0,45.0,robot_learning.assets.booster.BOOSTER_T1_CFG
7,Right_Hip_Roll,0.0,200.0,5.0,30.0,robot_learning.assets.booster.BOOSTER_T1_CFG
8,Right_Hip_Yaw,0.0,200.0,5.0,30.0,robot_learning.assets.booster.BOOSTER_T1_CFG
9,Right_Knee_Pitch,0.42,200.0,5.0,60.0,robot_learning.assets.booster.BOOSTER_T1_CFG
10,Right_Ankle_Pitch,-0.23,50.0,1.0,24.0,robot_learning.assets.booster.BOOSTER_T1_CFG
11,Right_Ankle_Roll,0.0,50.0,1.0,15.0,robot_learning.assets.booster.BOOSTER_T1_CFG
12,Waist,0.0,200.0,5.0,30.0,robot_learning.assets.booster.BOOSTER_T1_CFG
13,Left_Shoulder_Pitch,0.2,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
14,Left_Shoulder_Roll,-1.35,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
15,Left_Elbow_Pitch,0.0,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
16,Left_Elbow_Yaw,-0.5,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
17,Right_Shoulder_Pitch,0.2,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
18,Right_Shoulder_Roll,1.35,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
19,Right_Elbow_Pitch,0.0,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
20,Right_Elbow_Yaw,0.5,40.0,10.0,18.0,robot_learning.assets.booster.BOOSTER_T1_CFG
