joint_index,joint_name,default_qpos_rad,kp,kd,tau_limit_nm,source_config
0,Head_Yaw,0.0,5.0,0.1,0.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
1,Head_Pitch,0.0,5.0,0.1,0.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
2,Left_Shoulder_Pitch,-1.4,8.0,0.5,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
3,Left_Shoulder_Roll,-1.45,8.0,0.5,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
4,Left_Elbow_Pitch,1.57,14.4,1.4,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
5,Left_Elbow_Yaw,-0.15,14.4,1.4,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
6,Right_Shoulder_Pitch,-1.4,8.0,0.5,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
7,Right_Shoulder_Roll,1.45,8.0,0.5,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
8,Right_Elbow_Pitch,1.57,14.4,1.4,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
9,Right_Elbow_Yaw,0.15,14.4,1.4,18.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
10,Waist,0.0,20.0,1.1,30.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
11,Left_Hip_Pitch,-1.001578,20.0,1.1,45.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
12,Left_Hip_Roll,-0.03229,20.0,1.1,30.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
13,Left_Hip_Yaw,0.073587,20.0,1.1,30.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
14,Left_Knee_Pitch,2.3,20.0,1.1,60.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
15,Left_Ankle_Pitch,0.040022,5.0,0.22,24.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
16,Left_Ankle_Roll,-0.00334,5.0,0.22,15.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
17,Right_Hip_Pitch,-1.001578,20.0,1.1,45.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
18,Right_Hip_Roll,0.03229,20.0,1.1,30.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
19,Right_Hip_Yaw,-0.073587,20.0,1.1,30.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
20,Right_Knee_Pitch,2.3,20.0,1.1,60.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
21,Right_Ankle_Pitch,0.040022,5.0,0.22,24.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
22,Right_Ankle_Roll,0.00334,5.0,0.22,15.0,t1_imu_calibration_cfg+BOOSTER_T1_CFG
