time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784246352.423896,-0.001821291,-0.113359846,0.002125211,0.001091111,0.000967868,-0.000031670,1.121547818,-0.010522779,9.717531204
1784246352.426022,-0.001814253,-0.113360681,0.002116004,0.001421303,0.000615209,-0.000958024,1.118815660,-0.012426388,9.738140106
1784246352.427864,-0.001808973,-0.113363706,0.002115347,0.001750052,0.000194250,-0.001453118,1.111992598,0.015197899,9.709168434
1784246352.429805,-0.001808702,-0.113363460,0.002120624,0.001644340,-0.000043004,-0.000784998,1.121183515,-0.001341961,9.750318527
1784246352.431792,-0.001809453,-0.113358930,0.002121256,0.001210899,0.000291205,-0.000169658,1.103129745,-0.009242062,9.759666443
1784246352.433790,-0.001804812,-0.113353066,0.002120242,0.001063035,0.000913613,-0.000170307,1.110558391,-0.027931588,9.728169441
1784246352.435792,-0.001798041,-0.113348380,0.002123082,0.001479596,0.001378823,-0.000079622,1.091786981,-0.019811245,9.754207611
1784246352.437791,-0.001789786,-0.113345623,0.002117513,0.002070421,0.001464740,-0.000357496,1.104394913,-0.017192250,9.741234779
1784246352.439779,-0.001792204,-0.113348223,0.002113362,0.001827393,0.001033048,-0.000960888,1.097320080,-0.007766209,9.751599312
1784246352.441788,-0.001795664,-0.113348722,0.002116063,0.000923664,0.000542424,-0.000752724,1.104686499,0.005777779,9.723896027
1784246352.443778,-0.001794062,-0.113346376,0.002116211,0.000448764,0.000487358,-0.000328325,1.107725978,-0.039137464,9.733923912
1784246352.445841,-0.001790728,-0.113347478,0.002118086,0.000554658,0.000407037,-0.000126972,1.102372289,-0.033556581,9.777890205
1784246352.447815,-0.001792313,-0.113348134,0.002121058,0.000593020,0.000149733,0.000217112,1.107793212,0.004253744,9.743617058
1784246352.449771,-0.001787877,-0.113352150,0.002120099,0.000673538,-0.000235050,0.000268188,1.117013693,0.024319269,9.740615845
1784246352.451774,-0.001786781,-0.113352410,0.002118241,0.000842080,-0.000460445,-0.000037107,1.102998257,-0.020815922,9.749279976
1784246352.453773,-0.001785434,-0.113351129,0.002118443,0.000696920,-0.000298432,-0.000149809,1.097597480,-0.023307510,9.731324196
1784246352.455765,-0.001788133,-0.113345809,0.002122067,0.000377359,0.000197446,0.000166994,1.089489818,0.012114340,9.742304802
1784246352.457769,-0.001790837,-0.113341577,0.002126846,-0.000125698,0.000721493,0.000741243,1.107783198,0.002957554,9.736883163
1784246352.459774,-0.001792034,-0.113342889,0.002128465,-0.000406298,0.000653235,0.001012793,1.103315115,-0.032398712,9.739342690
1784246352.461776,-0.001791386,-0.113345236,0.002123330,-0.000360002,0.000227140,0.000504895,1.116501212,-0.018630946,9.732717514
1784246352.463782,-0.001786094,-0.113345273,0.002119231,0.000037717,0.000041460,-0.000297074,1.107943177,-0.021212656,9.733141899
