time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784246959.143705,0.015562364,-0.119293936,0.251658708,0.000290672,0.000644213,-0.000847529,1.163482904,0.193104818,9.738157272
1784246959.145685,0.015554937,-0.119291984,0.251661092,-0.000761159,0.000671220,0.000016922,1.163648725,0.204138905,9.698326111
1784246959.147698,0.015547844,-0.119287163,0.251654923,-0.001686153,0.000895247,-0.000110625,1.144716024,0.199640006,9.735042572
1784246959.149704,0.015541753,-0.119286112,0.251651287,-0.002196440,0.001041342,-0.000636620,1.163475990,0.192644149,9.739945412
1784246959.151674,0.015536292,-0.119290292,0.251648486,-0.002556706,0.000588233,-0.000788228,1.145712018,0.204054415,9.679477692
1784246959.153658,0.015530660,-0.119293265,0.251647264,-0.002768233,-0.000013385,-0.000737638,1.153603077,0.190734312,9.711231232
1784246959.155649,0.015529503,-0.119289979,0.251644373,-0.002609585,0.000031281,-0.000751752,1.163322568,0.182112113,9.772159576
1784246959.157639,0.015525740,-0.119296916,0.251640677,-0.002388026,-0.000206204,-0.000943888,1.163014412,0.191738084,9.742181778
1784246959.159637,0.015520047,-0.119303420,0.251641870,-0.002397482,-0.001063218,-0.000781058,1.162575126,0.190196797,9.707649231
1784246959.161642,0.015515704,-0.119299844,0.251638025,-0.002541207,-0.000966099,-0.000658637,1.150908828,0.191966429,9.731861115
1784246959.163656,0.015513705,-0.119298227,0.251642615,-0.002369154,-0.000341576,-0.000367359,1.169270635,0.186997101,9.704498291
1784246959.165657,0.015516140,-0.119299352,0.251646250,-0.001723524,-0.000164982,0.000295404,1.180228949,0.202134311,9.698328972
1784246959.167671,0.015507276,-0.119303793,0.251640588,-0.001798727,-0.000458560,0.000143188,1.175144911,0.191300243,9.718877792
1784246959.169656,0.015504030,-0.119306877,0.251630813,-0.002251317,-0.000860817,-0.000835868,1.160318136,0.188903943,9.704501152
1784246959.171674,0.015506893,-0.119312830,0.251626402,-0.001894984,-0.001251250,-0.001548553,1.160236955,0.183401227,9.722399712
1784246959.173671,0.015501223,-0.119320691,0.251629472,-0.001695079,-0.001846442,-0.001185024,1.171114206,0.191412404,9.710355759
1784246959.175724,0.015493592,-0.119321942,0.251626581,-0.002197036,-0.001932173,-0.000738770,1.163649440,0.168175399,9.715131760
1784246959.177755,0.015489318,-0.119323254,0.251620978,-0.002538515,-0.001559254,-0.001006924,1.159225821,0.173192263,9.710677147
1784246959.179697,0.015481696,-0.119330235,0.251620322,-0.002701713,-0.001703376,-0.001060038,1.145840406,0.181256354,9.734926224
1784246959.181681,0.015471123,-0.119331703,0.251622915,-0.003256566,-0.001861427,-0.000485957,1.181334019,0.183598027,9.719731331
1784246959.183671,0.015461545,-0.119332843,0.251612365,-0.003872066,-0.001592319,-0.000715806,1.162769318,0.207940355,9.732421875
1784246959.185708,0.015460877,-0.119334012,0.251607478,-0.003776292,-0.001362603,-0.001459854,1.156737566,0.191046655,9.724687576
1784246959.187680,0.015453327,-0.119333223,0.251604706,-0.003507304,-0.001056511,-0.001495345,1.181352139,0.148177937,9.723091125
1784246959.189696,0.015442546,-0.119335070,0.251601815,-0.003836323,-0.000847082,-0.001323539,1.174789429,0.162557572,9.729005814
1784246959.191692,0.015436806,-0.119337931,0.251599133,-0.004005641,-0.000875266,-0.001199276,1.165662408,0.151333645,9.748651505
1784246959.193674,0.015432410,-0.119336389,0.251597047,-0.003692549,-0.000666514,-0.001106781,1.169430017,0.163633779,9.713315010
1784246959.195665,0.015432457,-0.119339161,0.251600236,-0.002995033,-0.000503606,-0.000695608,1.162285209,0.165619358,9.698973656
1784246959.197673,0.015426870,-0.119348280,0.251600325,-0.002549325,-0.001105220,-0.000237720,1.185749650,0.142144322,9.744576454
1784246959.199692,0.015419002,-0.119349957,0.251588881,-0.002855389,-0.001549043,-0.000825828,1.154774666,0.140399784,9.730636597
1784246959.201666,0.015412070,-0.119347848,0.251589566,-0.003106606,-0.001134313,-0.001214088,1.153876185,0.139998302,9.725701332
1784246959.203654,0.015411170,-0.119349778,0.251598001,-0.002659727,-0.000828838,-0.000214233,1.151798248,0.153897926,9.728030205
1784246959.205643,0.015410308,-0.119352296,0.251593798,-0.002066411,-0.001002958,0.000151330,1.182561159,0.175752431,9.749719620
1784246959.207641,0.015401594,-0.119353421,0.251593798,-0.002229199,-0.001084289,-0.000088504,1.183946848,0.177263483,9.723728180
1784246959.209659,0.015394957,-0.119360358,0.251591623,-0.002675794,-0.001339099,-0.000084313,1.177152514,0.171577081,9.716511726
1784246959.211657,0.015390539,-0.119360410,0.251589060,-0.002800614,-0.001417674,-0.000278914,1.196378827,0.165932059,9.719632149
1784246959.213644,0.015384475,-0.119361639,0.251580566,-0.002904488,-0.001094136,-0.000851822,1.178421855,0.129312232,9.735071182
1784246959.215644,0.015375528,-0.119364291,0.251580536,-0.003055249,-0.001074731,-0.001089986,1.164271474,0.147347853,9.744588852
1784246959.217650,0.015369163,-0.119363181,0.251585722,-0.003074947,-0.000887219,-0.000341734,1.155621290,0.136340737,9.732853889
1784246959.219651,0.015365630,-0.119365513,0.251589268,-0.002836317,-0.000718677,0.000420561,1.152958393,0.137417421,9.712233543
1784246959.221679,0.015368818,-0.119372964,0.251588702,-0.002016535,-0.001157958,0.000504433,1.146567106,0.130555913,9.743566513
1784246959.223663,0.015368305,-0.119371973,0.251585424,-0.001271187,-0.001260588,0.000079581,1.156613708,0.145590141,9.753536224
1784246959.225660,0.015362632,-0.119370349,0.251576215,-0.001444513,-0.000802553,-0.000733540,1.167673588,0.168012396,9.730826378
1784246959.227682,0.015359889,-0.119368888,0.251564920,-0.001786277,-0.000445347,-0.001849604,1.183767200,0.163281292,9.737088203
1784246959.229669,0.015356123,-0.119366303,0.251562089,-0.001854090,-0.000063631,-0.002246489,1.148073792,0.142748088,9.727506638
1784246959.231711,0.015350733,-0.119366810,0.251565039,-0.001925279,0.000082708,-0.001561585,1.148483396,0.140407130,9.740942001
1784246959.233671,0.015345145,-0.119372755,0.251565456,-0.002074339,-0.000387050,-0.000831333,1.177659988,0.139309227,9.716753960
1784246959.235704,0.015346201,-0.119376667,0.251570463,-0.001751386,-0.000932462,-0.000209539,1.168002605,0.118935034,9.700922012
1784246959.237674,0.015342839,-0.119378753,0.251574904,-0.001333008,-0.001063325,0.000497932,1.166835785,0.135768130,9.730170250
1784246959.239667,0.015336272,-0.119377971,0.251570582,-0.001638456,-0.000860659,0.000454402,1.164869308,0.122682594,9.746671677
1784246959.241668,0.015334482,-0.119374402,0.251566678,-0.001692927,-0.000351195,-0.000170736,1.170748115,0.126617253,9.749841690
1784246959.243675,0.015328050,-0.119374149,0.251563489,-0.001715093,-0.000016686,-0.000554111,1.175895810,0.140383944,9.694789886
1784246959.245668,0.015321423,-0.119377196,0.251561940,-0.002133405,-0.000129976,-0.000619402,1.182430387,0.162561581,9.714665413
1784246959.247682,0.015315690,-0.119377904,0.251552969,-0.002437966,-0.000282071,-0.001064493,1.174907565,0.135626480,9.735556602
1784246959.249672,0.015315801,-0.119375437,0.251553565,-0.002222834,-0.000092149,-0.001296108,1.175681353,0.124101549,9.716653824
1784246959.251672,0.015320916,-0.119371258,0.251553595,-0.001177153,0.000429504,-0.000955839,1.182925820,0.129388258,9.716245651
1784246959.253682,0.015318318,-0.119368218,0.251554340,-0.000595876,0.000847246,-0.000671929,1.184902191,0.145386934,9.731146812
1784246959.255680,0.015311779,-0.119375221,0.251551986,-0.001048481,0.000387379,-0.000524909,1.195884109,0.162331864,9.722746849
1784246959.257680,0.015309799,-0.119377255,0.251553923,-0.001327839,-0.000290600,-0.000347430,1.183711171,0.119575672,9.708562851
1784246959.259681,0.015310606,-0.119373381,0.251551121,-0.001053466,-0.000087131,-0.000303753,1.175552845,0.114576690,9.733181000
1784246959.261679,0.015310728,-0.119373865,0.251546055,-0.000651550,0.000242005,-0.000776056,1.160592198,0.102614239,9.741159439
1784246959.263679,0.015309284,-0.119374290,0.251545876,-0.000488911,0.000193976,-0.000923365,1.130939603,0.135417983,9.718029022
1784246959.265684,0.015308542,-0.119373590,0.251550168,-0.000427401,0.000047622,-0.000381523,1.192713737,0.123739980,9.736842155
1784246959.267685,0.015306866,-0.119374245,0.251549751,-0.000400823,-0.000076687,-0.000004976,1.189918041,0.151630118,9.726259232
1784246959.269690,0.015310674,-0.119372018,0.251548618,-0.000161215,0.000048806,-0.000126252,1.165435672,0.130495667,9.718030930
1784246959.271694,0.015317447,-0.119371004,0.251542360,0.000594174,0.000244835,-0.000682441,1.148355961,0.128458455,9.720241547
1784246959.273690,0.015314748,-0.119371049,0.251539350,0.000690902,0.000230982,-0.001161420,1.153878450,0.139610752,9.717179298
1784246959.275691,0.015314030,-0.119370632,0.251540214,0.000325772,0.000186267,-0.000969682,1.172643900,0.134279549,9.740029335
1784246959.277684,0.015315988,-0.119373627,0.251536161,0.000365242,-0.000046928,-0.000938946,1.173566341,0.135681868,9.730175018
1784246959.279686,0.015318365,-0.119372755,0.251537800,0.000538934,-0.000182595,-0.000880031,1.162622571,0.120659135,9.720207214
1784246959.281699,0.015316582,-0.119373992,0.251540840,0.000611615,-0.000139841,-0.000349009,1.131124496,0.115498446,9.746594429
1784246959.283705,0.015315410,-0.119376451,0.251538336,0.000391446,-0.000338191,-0.000216604,1.156399488,0.126877546,9.739069939
1784246959.285694,0.015314607,-0.119372956,0.251531720,0.000162640,-0.000261974,-0.000768891,1.170579076,0.113934420,9.769487381
1784246959.287699,0.015325159,-0.119369723,0.251530379,0.000795779,0.000181018,-0.001185850,1.159223795,0.138016626,9.742731094
1784246959.289701,0.015329689,-0.119369790,0.251536340,0.001633166,0.000350703,-0.000677523,1.166775584,0.130024120,9.718926430
1784246959.291698,0.015321498,-0.119375244,0.251535118,0.001025251,-0.000089522,-0.000149822,1.159804821,0.147567511,9.721721649
1784246959.293716,0.015322538,-0.119377397,0.251529902,0.000256945,-0.000564278,-0.000488846,1.160287261,0.149449006,9.708283424
1784246959.295711,0.015332531,-0.119373411,0.251527339,0.000826133,-0.000236896,-0.000964950,1.177542090,0.131083742,9.739565849
