time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784149124.280734,0.007064790,-0.045122959,-0.045998774,0.000048293,0.000550105,-0.000125286,0.456269652,0.050938062,9.770638466
1784149124.282560,0.007061853,-0.045127504,-0.045997374,-0.000420314,0.000240848,0.000041043,0.458696127,0.067753784,9.795855522
1784149124.284544,0.007066739,-0.045129731,-0.045994312,-0.000095875,-0.000244607,0.000324287,0.447172076,0.077536196,9.764077187
1784149124.286530,0.007070105,-0.045124374,-0.045992624,0.000473117,0.000064128,0.000534847,0.457541049,0.081842251,9.769942284
1784149124.288508,0.007070947,-0.045118239,-0.045997955,0.000587662,0.000853679,0.000131300,0.438151568,0.110821962,9.762038231
1784149124.290495,0.007069152,-0.045119524,-0.045999978,0.000340980,0.000947878,-0.000400557,0.440711677,0.101234011,9.782604218
1784149124.292494,0.007073088,-0.045123819,-0.046006322,0.000316756,0.000331298,-0.000863787,0.446165740,0.070608892,9.794965744
1784149124.294494,0.007080721,-0.045117777,-0.046008673,0.000937473,0.000379552,-0.001251615,0.450262576,0.075071737,9.790066719
1784149124.296493,0.007079512,-0.045117445,-0.046003740,0.001120111,0.000736837,-0.000756550,0.436862350,0.042997975,9.788055420
1784149124.298534,0.007072015,-0.045123391,-0.046010341,0.000214237,0.000181794,-0.000636766,0.445565999,0.057264827,9.782326698
1784149124.300506,0.007066817,-0.045125160,-0.046013851,-0.000735556,-0.000395985,-0.001110539,0.446539581,0.063527972,9.781918526
1784149124.302506,0.007072059,-0.045123510,-0.046010468,-0.000500901,-0.000272780,-0.000819360,0.455777168,0.085756987,9.789691925
1784149124.304520,0.007074178,-0.045121439,-0.046009902,0.000178580,0.000079928,-0.000352240,0.418989629,0.048686154,9.776417732
1784149124.306502,0.007071327,-0.045117877,-0.046015125,0.000132541,0.000346137,-0.000572363,0.421129763,0.040546410,9.783091545
1784149124.308489,0.007074172,-0.045116622,-0.046013199,0.000152437,0.000484942,-0.000642683,0.429682761,0.079866678,9.782903671
1784149124.310519,0.007071889,-0.045115069,-0.046009909,0.000165152,0.000546538,-0.000116476,0.430259049,0.053409576,9.784976959
1784149124.312498,0.007071506,-0.045111302,-0.046013165,-0.000021878,0.000757623,-0.000075509,0.426848322,0.068241470,9.784619331
1784149124.314490,0.007077431,-0.045112491,-0.046009239,0.000400338,0.000725271,-0.000027764,0.457998425,0.084336653,9.796410561
1784149124.316524,0.007080083,-0.045112059,-0.046002578,0.000831113,0.000534287,0.000674199,0.437839895,0.087692939,9.801791191
1784149124.318500,0.007079767,-0.045112614,-0.046001878,0.000711892,0.000437042,0.000986546,0.436455041,0.082541361,9.772616386
1784149124.320486,0.007077694,-0.045109231,-0.045996964,0.000373750,0.000513567,0.001106199,0.423322469,0.072843380,9.773886681
