time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784148253.109179,0.002574785,-0.048200455,-0.260862797,0.000443824,0.000098476,0.000615398,0.473387361,0.021764524,9.809922218
1784148253.111124,0.002570265,-0.048205230,-0.260865718,0.000117557,-0.000125927,0.000513266,0.466131389,0.013145305,9.774888992
1784148253.113101,0.002568578,-0.048209697,-0.260868341,-0.000358641,-0.000698266,0.000021016,0.474468946,0.033743426,9.761579514
1784148253.115106,0.002570672,-0.048206057,-0.260864735,-0.000230440,-0.000564903,0.000081429,0.459325016,0.008580231,9.799062729
1784148253.117099,0.002570790,-0.048206210,-0.260856271,0.000063164,-0.000186459,0.000867449,0.464725137,0.046225216,9.788102150
1784148253.119098,0.002570581,-0.048211575,-0.260851294,0.000125529,-0.000521769,0.001544722,0.464376926,0.055939846,9.808787346
1784148253.121098,0.002570939,-0.048210856,-0.260859907,0.000047964,-0.000685632,0.000883046,0.462164611,0.019030083,9.773577690
1784148253.123113,0.002572937,-0.048209030,-0.260860085,0.000124147,-0.000318244,0.000042908,0.472578228,0.027335979,9.783953667
1784148253.125117,0.002574232,-0.048211947,-0.260863274,0.000302603,-0.000306134,-0.000209316,0.480609924,0.024446160,9.797841072
1784148253.127117,0.002574992,-0.048210703,-0.260866791,0.000342535,-0.000313011,-0.000609911,0.492930204,0.039690129,9.774188995
1784148253.129090,0.002575986,-0.048211820,-0.260863572,0.000371948,-0.000194687,-0.000467809,0.488774270,0.029492814,9.766496658
1784148253.131113,0.002576508,-0.048213523,-0.260860980,0.000354464,-0.000272608,0.000049926,0.461177617,0.049845356,9.789465904
1784148253.133126,0.002579276,-0.048208848,-0.260854721,0.000472093,0.000063986,0.000628060,0.471315086,0.034491990,9.788032532
1784148253.135087,0.002580759,-0.048202563,-0.260849059,0.000671047,0.000792730,0.001250668,0.474050015,0.036821298,9.770565987
1784148253.137086,0.002583462,-0.048202392,-0.260850877,0.000705886,0.001058132,0.001161023,0.479271084,0.021683795,9.747609138
1784148253.139080,0.002578784,-0.048201766,-0.260856479,0.000276774,0.000864931,0.000352717,0.488382459,0.034810506,9.775497437
1784148253.141076,0.002574534,-0.048200566,-0.260848701,-0.000434207,0.000814382,0.000431662,0.491604537,0.043516446,9.805595398
1784148253.143079,0.002575784,-0.048206672,-0.260851651,-0.000541588,0.000322155,0.000649753,0.495177418,0.040906690,9.788097382
1784148253.145094,0.002573707,-0.048210531,-0.260862231,-0.000494747,-0.000444121,-0.000439017,0.468326867,0.046274610,9.774654388
1784148253.147101,0.002570600,-0.048213776,-0.260866433,-0.000801812,-0.000800232,-0.001303798,0.470787704,0.026987324,9.773189545
1784148253.149095,0.002568275,-0.048216946,-0.260866642,-0.001008535,-0.001010158,-0.001229458,0.488256365,0.025304753,9.789334297
1784148253.151087,0.002570163,-0.048216432,-0.260866821,-0.000776564,-0.000844775,-0.000920196,0.451996833,0.032928281,9.790695190
1784148253.153147,0.002569143,-0.048210345,-0.260864466,-0.000510746,-0.000096365,-0.000528783,0.444429427,0.037556507,9.783543587
1784148253.155079,0.002570365,-0.048210096,-0.260865539,-0.000354104,0.000359580,-0.000298355,0.475644529,0.022653962,9.806791306
1784148253.157124,0.002571227,-0.048206307,-0.260870248,-0.000059587,0.000548780,-0.000618398,0.479001015,0.040525801,9.807806015
1784148253.159092,0.002574193,-0.048204504,-0.260868549,0.000282257,0.000792126,-0.000670239,0.482218206,0.009576854,9.806714058
1784148253.161081,0.002578185,-0.048203185,-0.260866225,0.000727276,0.000802417,-0.000239276,0.472495347,0.020197220,9.779872894
1784148253.163081,0.002584137,-0.048205908,-0.260866553,0.001247373,0.000502701,-0.000071139,0.454201311,0.028944194,9.779911041
1784148253.165099,0.002586874,-0.048205465,-0.260860592,0.001516394,0.000211999,0.000303495,0.457963705,0.006856505,9.791877747
1784148253.167082,0.002585813,-0.048204016,-0.260863632,0.001244846,0.000204255,0.000414340,0.475230843,0.023746407,9.779897690
1784148253.169079,0.002585294,-0.048205033,-0.260867417,0.000794309,0.000097328,-0.000155742,0.481467724,0.020879585,9.793784142
1784148253.171082,0.002587461,-0.048204761,-0.260868996,0.000701302,0.000052342,-0.000480225,0.486402392,0.021213433,9.800964355
