time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784151746.254967,-0.006146279,0.002451977,1.325148582,-0.000464119,0.002299199,0.000965143,-0.020714132,-0.053798568,9.795512199
1784151746.256879,-0.006146279,0.002451977,1.325148582,-0.000431358,0.002716731,0.000775444,-0.023642946,-0.035468221,9.806387901
1784151746.258865,-0.006145027,0.002451876,1.325148582,-0.000965223,0.003313903,0.000800464,-0.011385689,-0.024773823,9.792570114
1784151746.260844,-0.006145027,0.002451876,1.325148582,-0.001251748,0.003189748,0.000833789,-0.019764025,-0.049746618,9.791055679
1784151746.262843,-0.006145027,0.002451876,1.325148582,-0.000956400,0.002860872,0.000695072,-0.003718744,-0.058506187,9.796843529
1784151746.264875,-0.006145577,0.002450400,1.325148463,-0.000720887,0.002714386,0.000053015,-0.022052873,-0.052507382,9.805382729
1784151746.266856,-0.006145577,0.002450400,1.325148463,-0.000910425,0.002577782,-0.000776493,-0.024146540,-0.005195320,9.771611214
1784151746.268855,-0.006142474,0.002450674,1.325148582,-0.001552688,0.002733921,-0.001091329,-0.031955849,-0.019092485,9.786756516
1784151746.270869,-0.006142474,0.002450674,1.325148582,-0.001969861,0.002540581,-0.001232055,-0.037188727,-0.080443822,9.791738510
1784151746.272856,-0.006142474,0.002450674,1.325148582,-0.001843937,0.002069675,-0.001101055,-0.046089236,-0.074479900,9.788183212
1784151746.274851,-0.006143305,0.002451192,1.325148582,-0.001187805,0.002185642,-0.000532821,-0.038310707,-0.061231013,9.801276207
1784151746.276836,-0.006143305,0.002451192,1.325148582,-0.000364209,0.002394272,-0.000424509,-0.005488871,-0.057072535,9.787436485
1784151746.278842,-0.006143225,0.002450404,1.325148582,0.000160296,0.002118963,-0.000979919,-0.026961217,-0.052227929,9.774892807
1784151746.280841,-0.006143225,0.002450404,1.325148582,-0.000385375,0.001493769,-0.000955125,-0.046542130,-0.037322618,9.793351173
1784151746.282838,-0.006143225,0.002450404,1.325148582,-0.001220024,0.000877281,-0.000324894,-0.050249305,-0.047525667,9.785661697
1784151746.284861,-0.006142028,0.002452331,1.325148582,-0.001119755,0.000638743,-0.000224514,-0.024266867,-0.051029831,9.790595055
1784151746.286882,-0.006142028,0.002452331,1.325148582,-0.000029111,0.000852194,-0.000508651,-0.026174795,-0.058384068,9.820136070
1784151746.288859,-0.006141556,0.002452403,1.325148582,0.000511522,0.000938432,-0.000716431,-0.039736275,-0.031140573,9.793846130
1784151746.290855,-0.006141556,0.002452403,1.325148582,0.000088025,0.000790426,-0.000274560,-0.044704851,-0.033768285,9.794273376
1784151746.292858,-0.006141556,0.002452403,1.325148582,0.000178665,0.000874410,0.000355923,-0.031027600,-0.016428936,9.788568497
1784151746.294924,-0.006139606,0.002452207,1.325148582,0.000520415,0.001241705,0.000311915,-0.050275199,-0.048945863,9.796412468
1784151746.296917,-0.006139606,0.002452207,1.325148582,0.000421430,0.001064154,0.000096305,-0.060760036,-0.062271547,9.799006462
1784151746.298957,-0.006139069,0.002454462,1.325148582,0.000093848,0.000774022,0.000190659,-0.032430105,-0.057283651,9.802652359
1784151746.300880,-0.006139069,0.002454462,1.325148582,-0.000124373,0.000743434,0.000097968,-0.021288626,-0.064512081,9.790960312
1784151746.302919,-0.006139069,0.002454462,1.325148582,0.000000448,0.000056548,-0.000694880,-0.030522527,-0.085495800,9.797094345
1784151746.304901,-0.006140353,0.002454472,1.325148582,0.000145469,-0.000602323,-0.001941176,-0.018751483,-0.077118114,9.794917107
1784151746.306966,-0.006140353,0.002454472,1.325148582,-0.000340632,-0.000520936,-0.002359503,-0.048653018,-0.064110510,9.783762932
1784151746.308900,-0.006140533,0.002455855,1.325148582,-0.000962869,-0.000065871,-0.002157021,-0.025364174,-0.067996338,9.784209251
1784151746.310882,-0.006140533,0.002455855,1.325148582,-0.001325872,0.000211886,-0.002208240,-0.049450245,-0.056013454,9.780675888
1784151746.312885,-0.006140533,0.002455855,1.325148582,-0.001899444,0.000343019,-0.001831249,-0.042570166,-0.079945952,9.794427872
1784151746.314878,-0.006141649,0.002456238,1.325148582,-0.002354983,0.000347520,-0.001322509,-0.015371878,-0.055821560,9.818369865
1784151746.316867,-0.006141649,0.002456238,1.325148582,-0.002254495,0.000237146,-0.000789376,-0.022032619,-0.051131707,9.800909042
1784151746.318913,-0.006140594,0.002456997,1.325148582,-0.001835836,0.000403012,-0.000074142,-0.025925180,-0.037771497,9.819371223
1784151746.320884,-0.006140594,0.002456997,1.325148582,-0.001278450,0.000431790,0.000338477,-0.042695768,-0.052668631,9.802224159
1784151746.322883,-0.006140594,0.002456997,1.325148582,-0.000636522,0.000469871,0.000368758,-0.035242349,-0.031954087,9.774119377
1784151746.324877,-0.006139482,0.002457576,1.325148582,-0.000238059,0.000733898,0.000139298,-0.028754283,-0.013385552,9.797558784
1784151746.326887,-0.006139482,0.002457576,1.325148582,-0.000402736,0.000731051,0.000313314,-0.040384810,-0.011332938,9.781867981
1784151746.328882,-0.006136783,0.002457966,1.325148582,-0.000376506,0.000871393,0.000441108,-0.038706414,-0.020785376,9.784947395
1784151746.330914,-0.006136783,0.002457966,1.325148582,-0.000484771,0.000762889,-0.000098986,-0.056452882,-0.039937951,9.800947189
1784151746.332879,-0.006136783,0.002457966,1.325148582,-0.001070075,0.000548743,-0.001053601,-0.041595761,-0.036896557,9.787531853
1784151746.334880,-0.006134996,0.002458873,1.325148582,-0.001039715,0.000855020,-0.001619365,-0.034532584,-0.045604739,9.802276611
1784151746.336875,-0.006134996,0.002458873,1.325148582,-0.000281718,0.000636454,-0.001743980,-0.040556576,-0.062031422,9.791853905
1784151746.338881,-0.006135424,0.002459198,1.325148582,0.000069348,0.000298632,-0.001709713,0.000835187,-0.090762213,9.788123131
1784151746.340881,-0.006135424,0.002459198,1.325148582,-0.000357672,0.000420764,-0.001828198,0.004291139,-0.101184435,9.798371315
1784151746.342877,-0.006135424,0.002459198,1.325148582,-0.001375363,0.000373472,-0.001934447,-0.030436900,-0.076714620,9.822255135
1784151746.344883,-0.006136872,0.002459294,1.325148582,-0.001864454,0.000334197,-0.001668489,-0.074857831,-0.038145687,9.834117889
1784151746.346898,-0.006136872,0.002459294,1.325148582,-0.000918197,0.000416207,-0.001255434,-0.070293836,-0.070322216,9.814188957
1784151746.348920,-0.006137412,0.002460802,1.325148582,0.000278139,0.000647488,-0.000465368,-0.081398323,-0.061991185,9.796747208
1784151746.350907,-0.006137412,0.002460802,1.325148582,0.001114321,0.000923465,0.000255144,-0.051160347,-0.048432346,9.788792610
1784151746.352918,-0.006137412,0.002460802,1.325148582,0.001376890,0.000735366,0.000271860,-0.051539145,-0.042606294,9.789278984
1784151746.354912,-0.006136927,0.002463298,1.325148582,0.001278969,0.000479116,-0.000312796,-0.001051028,-0.021954739,9.818601608
1784151746.356911,-0.006136927,0.002463298,1.325148582,0.001534077,0.000484034,-0.000267778,0.014187967,-0.063520648,9.776653290
1784151746.358928,-0.006136873,0.002461360,1.325148582,0.001897159,0.000266615,0.000269518,0.002068455,-0.099370211,9.799278259
1784151746.360909,-0.006136873,0.002461360,1.325148582,0.002108679,0.000217014,0.000625350,-0.029952478,-0.077654086,9.764416695
1784151746.362917,-0.006136873,0.002461360,1.325148582,0.002101420,0.000273613,0.000722365,-0.056166038,-0.053379353,9.800414085
1784151746.364942,-0.006137500,0.002462110,1.325148582,0.001677689,-0.000019861,0.000339214,-0.061740920,-0.032218646,9.796059608
1784151746.366980,-0.006137500,0.002462110,1.325148582,0.001136293,-0.000032710,-0.000011365,-0.054976739,-0.032444414,9.752576828
1784151746.368941,-0.006136116,0.002463013,1.325148582,0.000728165,0.000371727,-0.000210319,-0.043718264,-0.026996769,9.785350800
1784151746.370944,-0.006136116,0.002463013,1.325148582,0.000360744,0.000777763,-0.000787989,-0.037720282,-0.050796937,9.782065392
1784151746.372969,-0.006136116,0.002463013,1.325148582,0.000595901,0.000796929,-0.001010988,-0.014569889,-0.065907232,9.786026001
1784151746.374932,-0.006136733,0.002462496,1.325148582,0.001143971,0.000624401,-0.000776741,-0.024676839,-0.045855228,9.819769859
1784151746.376928,-0.006136733,0.002462496,1.325148582,0.000984531,0.000596729,-0.000931369,-0.030712979,-0.064404063,9.792744637
1784151746.378935,-0.006136890,0.002462333,1.325148582,0.000574692,0.000218425,-0.000829854,-0.040074725,-0.057722908,9.815196037
