time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784151364.549601,-0.005898717,0.007437009,-0.060978629,0.002116119,-0.000529425,0.001845281,-0.050689600,-0.043806240,9.830516815
1784151364.551391,-0.005898224,0.007436229,-0.060978636,0.001049523,-0.001119740,0.001708755,-0.071026206,-0.056039557,9.823246956
1784151364.553514,-0.005898224,0.007436229,-0.060978636,-0.000473400,-0.000509915,0.000657160,-0.075898081,-0.053040538,9.788291931
1784151364.555352,-0.005898224,0.007436229,-0.060978636,-0.000529946,0.000388970,0.000220223,-0.078604266,-0.089490592,9.815402985
1784151364.557346,-0.005898672,0.007436549,-0.060978632,0.000365432,0.000779608,0.000244919,-0.047111098,-0.083961442,9.800227165
1784151364.559298,-0.005898672,0.007436549,-0.060978632,0.001013136,0.000580026,-0.000028624,-0.026134141,-0.095652886,9.768340111
1784151364.561304,-0.005900048,0.007435217,-0.060978640,0.001117459,-0.000066601,-0.000032704,-0.088006660,-0.089614332,9.786699295
1784151364.563357,-0.005900048,0.007435217,-0.060978640,0.000727467,-0.000172210,-0.000106587,-0.115956619,-0.062018707,9.799852371
1784151364.565320,-0.005900048,0.007435217,-0.060978640,0.000412251,0.000166611,-0.000392817,-0.111252852,-0.044154577,9.799522400
1784151364.567317,-0.005899418,0.007437121,-0.060978629,0.000615008,0.000264894,-0.000619525,-0.087638438,-0.021559827,9.792965889
1784151364.569295,-0.005899418,0.007437121,-0.060978629,0.000556930,-0.000221478,-0.000427079,-0.066867009,-0.050273795,9.760969162
1784151364.571338,-0.005899257,0.007436567,-0.060978629,0.000371070,-0.000501476,-0.000413061,-0.072956987,-0.033278894,9.776315689
1784151364.573278,-0.005899257,0.007436567,-0.060978629,0.000321077,0.000342120,-0.001137001,-0.049798697,-0.045895379,9.807640076
1784151364.575294,-0.005899257,0.007436567,-0.060978629,0.000140435,0.000976777,-0.001754759,-0.052909002,-0.042776637,9.815727234
1784151364.577301,-0.005898881,0.007435977,-0.060978632,0.000053370,0.000678798,-0.001577142,-0.056686256,-0.056369796,9.843880653
1784151364.579288,-0.005898881,0.007435977,-0.060978632,0.000129291,0.000096695,-0.000871904,-0.092849776,-0.044746045,9.786535263
1784151364.581284,-0.005898264,0.007436318,-0.060978632,0.000076989,-0.000253982,-0.000394011,-0.087226503,-0.060661592,9.809303284
1784151364.583329,-0.005898264,0.007436318,-0.060978632,-0.000284310,-0.000272747,0.000081296,-0.093304873,-0.080354370,9.817241669
1784151364.585288,-0.005898264,0.007436318,-0.060978632,-0.000568190,-0.000572853,0.000209302,-0.054475334,-0.063139841,9.783763885
1784151364.587279,-0.005898735,0.007436136,-0.060978629,-0.000485351,-0.000951170,-0.000582415,-0.058740582,-0.044715948,9.783877373
1784151364.589314,-0.005898735,0.007436136,-0.060978629,0.000158628,-0.000887536,-0.001734013,-0.056643229,-0.058056340,9.765861511
1784151364.591275,-0.005898769,0.007435395,-0.060978636,0.000643975,-0.000951121,-0.002284698,-0.044096068,-0.020757720,9.790770531
1784151364.593272,-0.005898769,0.007435395,-0.060978636,0.000053385,-0.001102561,-0.001496532,-0.043092452,-0.047389090,9.816604614
1784151364.595301,-0.005898769,0.007435395,-0.060978636,-0.000664716,-0.001048673,-0.000777490,-0.073938005,-0.076785773,9.784554482
1784151364.597277,-0.005899119,0.007435643,-0.060978632,-0.000733757,-0.000991443,-0.001047133,-0.081844971,-0.100369558,9.775876999
1784151364.599278,-0.005899119,0.007435643,-0.060978632,-0.000309699,-0.000628888,-0.001565957,-0.073414914,-0.109336279,9.761481285
1784151364.601283,-0.005900475,0.007435620,-0.060978632,0.000091501,-0.000133437,-0.001671702,-0.067869477,-0.057575941,9.781545639
1784151364.603275,-0.005900475,0.007435620,-0.060978632,0.000455458,0.000277620,-0.001242892,-0.021349089,-0.032262675,9.792511940
1784151364.605278,-0.005900475,0.007435620,-0.060978632,0.000900565,0.000538025,-0.000749922,-0.059587404,-0.039036762,9.805881500
1784151364.607274,-0.005899827,0.007435592,-0.060978632,0.000836103,-0.000131268,-0.000522565,-0.065915443,-0.043778915,9.791049957
1784151364.609281,-0.005899827,0.007435592,-0.060978632,0.000835280,-0.001375084,-0.000397181,-0.067427158,-0.055605795,9.818769455
1784151364.611325,-0.005899405,0.007435874,-0.060978632,0.001110526,-0.001799736,-0.000049994,-0.095650621,-0.050027043,9.841195107
1784151364.613622,-0.005899405,0.007435874,-0.060978632,0.000742637,-0.001132001,0.000369935,-0.079578720,-0.059386827,9.805284500
