time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784150188.495428,0.001819240,-0.049090378,-1.442579746,0.000093424,-0.000907264,-0.000753753,0.475234598,0.024991725,9.793804169
1784150188.497288,0.001819240,-0.049090378,-1.442579746,0.000042202,-0.000888409,-0.000429485,0.473589391,0.037948359,9.801956177
1784150188.499254,0.001819240,-0.049090378,-1.442579746,0.000265665,-0.000157849,-0.000134695,0.487282664,0.019445062,9.796021461
1784150188.501254,0.001819280,-0.049090557,-1.442579746,0.000339251,0.000465867,-0.000009835,0.494422585,0.015801186,9.791522026
1784150188.503251,0.001819280,-0.049090557,-1.442579746,-0.000296646,0.000623790,-0.000264608,0.485571623,0.024993038,9.774984360
1784150188.505242,0.001819781,-0.049091194,-1.442579746,-0.001050587,0.000528302,-0.000830929,0.518561900,0.009101623,9.808091164
1784150188.507214,0.001819781,-0.049091194,-1.442579746,-0.001024342,0.000217218,-0.001027299,0.498230577,0.033689536,9.789399147
1784150188.509206,0.001819781,-0.049091194,-1.442579746,-0.000919441,-0.000354639,-0.000793051,0.499788970,0.014779033,9.799591064
1784150188.511185,0.001820174,-0.049091745,-1.442579746,-0.000807946,-0.000914384,-0.000821715,0.487864226,-0.005754005,9.810206413
1784150188.513191,0.001820174,-0.049091745,-1.442579746,-0.000378710,-0.000894368,-0.000767453,0.510396242,-0.000818187,9.768566132
1784150188.515203,0.001819812,-0.049092356,-1.442579746,-0.000022649,-0.000074274,-0.000073502,0.494220883,0.036803871,9.799726486
1784150188.517181,0.001819812,-0.049092356,-1.442579746,0.000042088,0.000973574,0.000705011,0.456986487,0.036938027,9.784896851
1784150188.519180,0.001819812,-0.049092356,-1.442579746,0.000099120,0.000893286,0.000870326,0.486203015,0.041018501,9.788537025
1784150188.521207,0.001821211,-0.049092475,-1.442579627,0.000310308,-0.000228099,0.000840689,0.494100839,0.027345814,9.806838036
1784150188.523190,0.001821211,-0.049092475,-1.442579627,0.000266626,-0.000934449,0.000747193,0.493791133,0.036959071,9.778655052
1784150188.525173,0.001822498,-0.049093097,-1.442579627,0.000028555,-0.000544399,0.000286656,0.499533236,0.029681973,9.783545494
1784150188.527173,0.001822498,-0.049093097,-1.442579627,-0.000244840,0.000515124,-0.000098836,0.504463851,0.027957248,9.765156746
1784150188.529172,0.001822498,-0.049093097,-1.442579627,-0.000392997,0.001085667,0.000070593,0.475992680,0.011722634,9.768164635
1784150188.531178,0.001822127,-0.049092706,-1.442579627,0.000016157,0.000934763,0.000679083,0.490347624,0.012726742,9.790153503
1784150188.533194,0.001822127,-0.049092706,-1.442579627,-0.000031518,0.000665348,0.001319495,0.484916598,0.007969906,9.775771141
1784150188.535178,0.001822034,-0.049092654,-1.442579627,-0.000695772,0.000589178,0.000919210,0.491118968,0.006046325,9.846152306
1784150188.537182,0.001822034,-0.049092654,-1.442579627,-0.000904297,0.000663909,-0.000544599,0.468076795,0.026468936,9.787978172
