time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784152361.967521,0.021570262,-0.055623956,-0.446056545,0.001440868,0.000181241,0.001153628,0.576579690,0.203455284,9.780698776
1784152361.969453,0.021567376,-0.055619407,-0.446051449,0.000824172,0.000657664,0.001126925,0.552853525,0.207842529,9.773530960
1784152361.971466,0.021564243,-0.055616956,-0.446046948,0.000228936,0.000967873,0.001504175,0.553674877,0.202366441,9.786049843
1784152361.973420,0.021563735,-0.055616394,-0.446041107,-0.000026906,0.000921731,0.001813868,0.539658904,0.191981211,9.759518623
1784152361.975450,0.021564145,-0.055615004,-0.446038157,0.000021272,0.000814366,0.001913074,0.561727881,0.200861871,9.794118881
1784152361.977440,0.021563994,-0.055615596,-0.446037650,0.000093006,0.000701971,0.001624177,0.565013409,0.176530585,9.807415962
1784152361.979451,0.021568373,-0.055614661,-0.446038783,0.000398678,0.000583133,0.001125086,0.553802788,0.175108224,9.775564194
1784152361.981434,0.021573670,-0.055611175,-0.446036905,0.000949145,0.000726572,0.000835513,0.551648021,0.182726875,9.779196739
1784152361.983469,0.021566978,-0.055607475,-0.446026564,0.000754116,0.001066502,0.001437259,0.581470847,0.200608894,9.794136047
1784152361.985458,0.021564217,-0.055603795,-0.446019024,0.000086936,0.001335253,0.002290099,0.557704747,0.201437876,9.783357620
1784152361.987478,0.021571165,-0.055604786,-0.446019620,0.000431537,0.001256960,0.002116897,0.535594761,0.189802691,9.758156776
1784152361.989449,0.021577796,-0.055603161,-0.446018010,0.001296754,0.001051964,0.001557629,0.549850047,0.220314398,9.789299965
1784152361.991409,0.021580763,-0.055598289,-0.446017027,0.001604638,0.001211315,0.001277779,0.551983774,0.210503638,9.778927803
1784152361.993420,0.021586481,-0.055600569,-0.446015358,0.001700035,0.001112799,0.001072510,0.554565787,0.201494023,9.781113625
1784152361.995416,0.021594083,-0.055601753,-0.446007997,0.002107750,0.000638856,0.001336463,0.548841596,0.211344436,9.792380333
1784152361.997398,0.021592651,-0.055597726,-0.446003020,0.002028586,0.000674084,0.001782997,0.546894193,0.233568072,9.757999420
1784152361.999439,0.021596355,-0.055602532,-0.446007401,0.001662510,0.000437844,0.001330115,0.533417165,0.234020010,9.781750679
1784152362.001414,0.021595150,-0.055608388,-0.446010143,0.001353522,-0.000414558,0.000472836,0.546712518,0.257566571,9.785949707
1784152362.003412,0.021597525,-0.055605710,-0.446005017,0.000842426,-0.000586555,0.000518281,0.547722399,0.227742657,9.756617546
