time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784151134.705211,0.002551657,-0.088971771,0.034033958,-0.000207569,0.000307702,0.000359269,0.838242114,0.018777689,9.761833191
1784151134.707172,0.002551657,-0.088971771,0.034033958,-0.000615125,0.000655679,0.000945184,0.859741628,0.014552746,9.750170708
1784151134.709157,0.002550881,-0.088971354,0.034033954,-0.000982392,0.001019922,0.001047590,0.848963916,0.013810711,9.747912407
1784151134.711164,0.002550881,-0.088971354,0.034033954,-0.000999860,0.000889801,0.000596883,0.836362779,0.010029070,9.735322952
1784151134.713112,0.002550160,-0.088969290,0.034033950,-0.001126653,0.000361934,0.000645041,0.877050817,-0.002166539,9.738871574
1784151134.715145,0.002550160,-0.088969290,0.034033950,-0.000806077,-0.000261938,0.000823862,0.857119083,0.020811008,9.756933212
1784151134.717111,0.002550160,-0.088969290,0.034033950,-0.000205646,-0.000304294,0.000614025,0.879562914,0.022213640,9.771309853
1784151134.719122,0.002549691,-0.088969745,0.034033950,-0.000202230,-0.000295689,0.000659262,0.874359727,0.036680978,9.762430191
1784151134.721114,0.002549691,-0.088969745,0.034033950,-0.000425232,-0.000938835,0.001320053,0.852717459,0.026406186,9.734099388
1784151134.723137,0.002550493,-0.088968232,0.034033939,-0.000224106,-0.001231176,0.001784940,0.855855048,0.027960656,9.761908531
1784151134.725115,0.002550493,-0.088968232,0.034033939,0.000113868,-0.000683933,0.001099191,0.847408831,0.033963338,9.752075195
1784151134.727144,0.002550493,-0.088968232,0.034033939,0.000163525,-0.000119721,0.000365568,0.871268868,0.003985697,9.766252518
1784151134.729131,0.002549038,-0.088968679,0.034033939,0.000107283,0.000269650,0.000589039,0.891133308,0.051196922,9.770161629
1784151134.731111,0.002549038,-0.088968679,0.034033939,0.000118339,0.000372086,0.000859219,0.884776831,0.008235594,9.774363518
1784151134.733106,0.002547927,-0.088969432,0.034033947,0.000266525,-0.000056345,0.000656323,0.877949953,0.000671520,9.779239655
1784151134.735108,0.002547927,-0.088969432,0.034033947,0.000498626,-0.000568446,0.000615909,0.857691228,0.029885303,9.739953995
1784151134.737108,0.002547927,-0.088969432,0.034033947,0.000530721,-0.000202948,0.000734780,0.868715584,0.013221063,9.732236862
1784151134.739104,0.002547974,-0.088969119,0.034033947,-0.000143843,0.000649139,0.000444442,0.874562979,0.015691014,9.752431870
1784151134.741092,0.002547974,-0.088969119,0.034033947,-0.000297031,0.000692688,-0.000166883,0.889975905,0.028082961,9.746251106
1784151134.743123,0.002548340,-0.088970006,0.034033947,0.000310063,0.000302682,-0.000613435,0.885542214,0.032613706,9.747172356
1784151134.745107,0.002548340,-0.088970006,0.034033947,0.000427546,0.000093733,-0.000884686,0.865053177,0.045014456,9.741403580
1784151134.747110,0.002548340,-0.088970006,0.034033947,0.000549529,-0.000075768,-0.001262845,0.864839911,0.028741593,9.761921883
1784151134.749104,0.002548365,-0.088969357,0.034033947,0.000421874,-0.000160804,-0.001556512,0.859841347,0.025471963,9.789692879
1784151134.751108,0.002548365,-0.088969357,0.034033947,-0.000465790,-0.000107074,-0.001626649,0.876310110,0.012049347,9.757342339
1784151134.753097,0.002548388,-0.088970393,0.034033950,-0.001189678,-0.000482188,-0.001499656,0.895169616,0.012729242,9.753777504
1784151134.755121,0.002548388,-0.088970393,0.034033950,-0.001287606,-0.001069060,-0.000920809,0.884022295,0.019506535,9.765916824
1784151134.757098,0.002548388,-0.088970393,0.034033950,-0.000705924,-0.001323086,-0.000587379,0.844805777,0.004811018,9.760853767
