time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784242070.686255,-0.006287394,-0.004169037,-0.017305076,0.000010713,0.000288378,0.001151664,0.063086063,-0.061393142,9.830514908
1784242070.688180,-0.006287921,-0.004176093,-0.017309273,0.000089024,-0.000268107,0.000615645,0.055379111,-0.069619067,9.804003716
1784242070.690157,-0.006291962,-0.004176924,-0.017308665,-0.000251044,-0.000615110,0.000206803,0.043441940,-0.056307625,9.780763626
1784242070.692135,-0.006290453,-0.004180816,-0.017312033,-0.000371186,-0.000761611,-0.000036083,0.033241820,-0.081470460,9.809286118
1784242070.694170,-0.006292632,-0.004181666,-0.017311152,-0.000332195,-0.000869811,-0.000194779,0.023055444,-0.072582141,9.774810791
1784242070.696165,-0.006295824,-0.004178793,-0.017312381,-0.000606614,-0.000496273,-0.000163934,0.051418293,-0.062876530,9.808075905
1784242070.698127,-0.006298733,-0.004176124,-0.017322384,-0.000784132,0.000014132,-0.000880224,0.039190270,-0.036155473,9.789855003
1784242070.700132,-0.006296141,-0.004179148,-0.017321751,-0.000520299,-0.000015041,-0.001277281,0.051328756,-0.070472777,9.805337906
1784242070.702119,-0.006296009,-0.004184180,-0.017319808,-0.000136445,-0.000529318,-0.000756644,0.056586526,-0.083294176,9.771636963
1784242070.704110,-0.006294196,-0.004186135,-0.017320240,0.000089904,-0.000830950,-0.000449250,0.044139098,-0.108863503,9.798359871
1784242070.706121,-0.006296590,-0.004180884,-0.017316928,0.000026761,-0.000382809,-0.000131699,0.029692831,-0.077456415,9.818274498
1784242070.708159,-0.006300177,-0.004178611,-0.017316563,-0.000341872,0.000216791,0.000154798,0.009709236,-0.060966164,9.803566933
1784242070.710145,-0.006299689,-0.004183467,-0.017322864,-0.000417390,-0.000028473,-0.000289851,0.027020762,-0.039672967,9.802373886
1784242070.712126,-0.006295404,-0.004180994,-0.017323796,-0.000020398,-0.000229464,-0.000703438,0.029227497,-0.044044595,9.783069611
1784242070.714136,-0.006292466,-0.004174210,-0.017318849,0.000438275,0.000409605,-0.000241910,0.050834607,-0.036883280,9.808241844
1784242070.716125,-0.006294057,-0.004168702,-0.017316071,0.000412947,0.001129474,0.000347879,0.066125065,-0.070748352,9.817455292
1784242070.718142,-0.006299571,-0.004164479,-0.017318105,-0.000201772,0.001591201,0.000306891,0.062791891,-0.087625705,9.802549362
1784242070.720114,-0.006300127,-0.004164286,-0.017319333,-0.000580518,0.001568496,0.000004363,0.048659790,-0.068633728,9.803554535
1784242070.722123,-0.006298170,-0.004166091,-0.017317632,-0.000283764,0.001058253,0.000034860,0.015094416,-0.060218725,9.814784050
1784242070.724111,-0.006294233,-0.004168864,-0.017318586,0.000237578,0.000485154,0.000074491,0.038079727,-0.054036986,9.786151886
1784242070.726142,-0.006294804,-0.004167345,-0.017315285,0.000402303,0.000267303,0.000212443,0.035902508,-0.048216537,9.790669441
1784242070.728115,-0.006296081,-0.004167050,-0.017309608,0.000143891,0.000325904,0.000764845,0.034639549,-0.041463975,9.788471222
1784242070.730112,-0.006294784,-0.004166877,-0.017308967,0.000081656,0.000278347,0.000986442,0.056663647,-0.039016582,9.782680511
1784242070.732110,-0.006288482,-0.004171944,-0.017310461,0.000504629,-0.000028348,0.000659704,0.074434280,-0.054426357,9.775424957
1784242070.734122,-0.006281572,-0.004170772,-0.017311374,0.001193467,-0.000183216,0.000314354,0.053749878,-0.095341906,9.769762993
