time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784243449.843801,-0.006415132,-0.006312623,0.904715598,0.001412676,0.000010849,0.001386573,0.058283705,-0.052576981,9.796493530
1784243449.845809,-0.006415132,-0.006312623,0.904715598,0.000968539,-0.000400317,0.000850840,0.073188640,-0.044700228,9.796109200
1784243449.847761,-0.006413717,-0.006313239,0.904715598,0.000343406,-0.000226845,0.000173892,0.052584872,-0.042526279,9.779516220
1784243449.849776,-0.006413717,-0.006313239,0.904715598,0.000087372,0.000021158,0.000042772,0.078195028,-0.038126726,9.807813644
1784243449.851843,-0.006413717,-0.006313239,0.904715598,0.000095999,-0.000054814,0.000361325,0.067826711,-0.043643110,9.783109665
1784243449.853783,-0.006413227,-0.006314395,0.904715598,-0.000094813,0.000036514,0.000503632,0.043961197,-0.048056480,9.816683769
1784243449.855798,-0.006413227,-0.006314395,0.904715598,0.000133165,0.000515394,0.000231094,0.041795123,-0.080953673,9.784190178
1784243449.857857,-0.006414052,-0.006312618,0.904715598,0.000410301,0.000992149,-0.000472009,0.059116255,-0.058774088,9.784348488
1784243449.859899,-0.006414052,-0.006312618,0.904715598,-0.000094918,0.001184429,-0.000877888,0.067915551,-0.072426483,9.798169136
1784243449.861825,-0.006414052,-0.006312618,0.904715598,-0.000533007,0.001488579,-0.001389386,0.077446632,-0.103608169,9.755387306
1784243449.863790,-0.006417255,-0.006312935,0.904715598,-0.000384538,0.001506341,-0.001636037,0.093105599,-0.067795426,9.794634819
1784243449.865775,-0.006417255,-0.006312935,0.904715598,-0.000053286,0.000523820,-0.001315460,0.080884181,-0.075369999,9.810715675
1784243449.867834,-0.006417640,-0.006313423,0.904715598,0.000295553,-0.000370542,-0.001497939,0.071446016,-0.076586783,9.809802055
1784243449.869910,-0.006417640,-0.006313423,0.904715598,0.000523074,-0.000209833,-0.001951323,0.043888226,-0.091085583,9.819096565
1784243449.871798,-0.006417640,-0.006313423,0.904715598,0.000418646,0.000070267,-0.001974249,0.035421003,-0.051711801,9.778990746
1784243449.873803,-0.006417894,-0.006310985,0.904715598,0.000281570,-0.000127315,-0.000964331,0.074397512,-0.055932399,9.798279762
1784243449.875764,-0.006417894,-0.006310985,0.904715598,0.000776790,-0.000334101,0.000169119,0.059831258,-0.072383404,9.806678772
1784243449.877741,-0.006418430,-0.006311134,0.904715598,0.001717632,-0.000504569,0.000273564,0.066376962,-0.088923372,9.789541245
1784243449.879779,-0.006418430,-0.006311134,0.904715598,0.001861339,-0.000586139,0.000222665,0.075156927,-0.067975253,9.789236069
1784243449.881754,-0.006418430,-0.006311134,0.904715598,0.001439693,-0.000855103,0.000057219,0.061888572,-0.051692076,9.791570663
1784243449.883748,-0.006418343,-0.006312556,0.904715598,0.001170335,-0.000977238,-0.000423871,0.056040268,-0.012931502,9.833061218
1784243449.885740,-0.006418343,-0.006312556,0.904715598,0.001068555,-0.000619354,-0.000428717,0.059983231,-0.023867488,9.788608551
1784243449.887754,-0.006415828,-0.006312649,0.904715598,0.001007137,-0.000739969,0.000089152,0.061714225,-0.065226302,9.804933548
1784243449.889740,-0.006415828,-0.006312649,0.904715598,0.000800139,-0.000877428,0.000032636,0.027220314,-0.058261335,9.832741737
1784243449.891739,-0.006415828,-0.006312649,0.904715598,0.000185828,-0.000570829,-0.000945700,0.067953870,-0.070097640,9.785629272
1784243449.893738,-0.006415921,-0.006312795,0.904715598,-0.000585885,-0.000253320,-0.001766708,0.061389230,-0.056543954,9.781676292
1784243449.895738,-0.006415921,-0.006312795,0.904715598,-0.000517528,-0.000052017,-0.001515535,0.079708055,-0.062663577,9.790172577
1784243449.897745,-0.006415926,-0.006312984,0.904715598,-0.000091665,-0.000093624,-0.000647040,0.048318341,-0.060891815,9.786566734
1784243449.899759,-0.006415926,-0.006312984,0.904715598,-0.000307635,-0.000298141,-0.000034209,0.052556619,-0.079528742,9.816490173
1784243449.901745,-0.006415926,-0.006312984,0.904715598,-0.000354279,-0.000337672,-0.000020226,0.062369253,-0.085793138,9.797629356
1784243449.903765,-0.006417452,-0.006312895,0.904715598,0.000065611,-0.000314045,-0.000550580,0.047704954,-0.074343979,9.789170265
1784243449.905748,-0.006417452,-0.006312895,0.904715598,-0.000207974,-0.000345468,-0.000793715,0.058349755,-0.083971821,9.800776482
1784243449.907753,-0.006417774,-0.006312347,0.904715598,-0.000838325,-0.000006384,-0.000536261,0.077694811,-0.079764843,9.804406166
1784243449.909750,-0.006417774,-0.006312347,0.904715598,-0.000988147,0.000487517,-0.000058012,0.090179361,-0.086629339,9.802133560
1784243449.911766,-0.006417774,-0.006312347,0.904715598,-0.001173704,0.000575167,0.000776148,0.059086684,-0.059412822,9.811245918
1784243449.913764,-0.006418212,-0.006312401,0.904715598,-0.001294806,0.000191100,0.001020315,0.070485152,-0.044754762,9.808658600
1784243449.915765,-0.006418212,-0.006312401,0.904715598,-0.001089704,0.000111010,0.000405488,0.075114697,-0.034366064,9.788555145
1784243449.917763,-0.006416277,-0.006313569,0.904715598,-0.001101944,0.000284635,0.000572390,0.049913265,-0.040302847,9.786699295
1784243449.919759,-0.006416277,-0.006313569,0.904715598,-0.000915977,0.000188820,0.001379016,0.052015908,-0.051575135,9.792906761
1784243449.921761,-0.006416277,-0.006313569,0.904715598,-0.000348177,-0.000117196,0.001568865,0.050802212,-0.040381111,9.796114922
1784243449.923767,-0.006414797,-0.006313253,0.904715598,0.000081572,-0.000642854,0.001145902,0.054544646,-0.065058008,9.794168472
1784243449.925766,-0.006414797,-0.006313253,0.904715598,0.000070834,-0.000825636,0.001055000,0.046168324,-0.055261776,9.754769325
1784243449.927770,-0.006414793,-0.006312686,0.904715598,-0.000386999,-0.000791392,0.000898737,0.050404195,-0.073917791,9.787382126
1784243449.929769,-0.006414793,-0.006312686,0.904715598,-0.000590977,-0.000655199,0.000027551,0.048276104,-0.064872585,9.779368401
1784243449.931772,-0.006414793,-0.006312686,0.904715598,-0.000647207,-0.000359431,-0.000533650,0.065135814,-0.079972349,9.793185234
1784243449.933797,-0.006415834,-0.006312637,0.904715598,-0.000708937,-0.000290614,-0.000473982,0.062154692,-0.065702274,9.808069229
1784243449.935786,-0.006415834,-0.006312637,0.904715598,-0.000354735,-0.000031120,-0.000049626,0.068194225,-0.049558200,9.795177460
1784243449.937825,-0.006415364,-0.006312754,0.904715598,0.000394190,0.000457173,0.000496634,0.047419790,-0.058863081,9.817962646
1784243449.939783,-0.006415364,-0.006312754,0.904715598,0.000898503,0.000345245,0.000909959,0.077586360,-0.052757431,9.787095070
1784243449.941788,-0.006415364,-0.006312754,0.904715598,0.000644630,-0.000358903,0.001098296,0.063907087,-0.070112668,9.795041084
1784243449.943857,-0.006415970,-0.006313131,0.904715598,0.000119083,-0.000650766,0.001001514,0.041532576,-0.063267946,9.817927361
1784243449.945861,-0.006415970,-0.006313131,0.904715598,-0.000223780,-0.000521499,0.000878822,0.030323530,-0.063867524,9.796394348
1784243449.947816,-0.006416600,-0.006311713,0.904715598,-0.000026683,-0.000830233,0.001130893,0.051369615,-0.066908173,9.808052063
1784243449.949816,-0.006416600,-0.006311713,0.904715598,0.000172830,-0.000981424,0.000935935,0.049123388,-0.068521827,9.786967278
1784243449.951814,-0.006416600,-0.006311713,0.904715598,-0.000091606,-0.000669180,0.000145747,0.055048019,-0.060174335,9.799580574
1784243449.953806,-0.006416983,-0.006311676,0.904715598,0.000002640,-0.000555901,0.000075374,0.054672044,-0.054326016,9.796926498
1784243449.955796,-0.006416983,-0.006311676,0.904715598,0.000434008,-0.000299401,0.000368637,0.066997372,-0.075010531,9.785150528
1784243449.957798,-0.006416986,-0.006311703,0.904715598,0.000860306,0.000157897,0.000313185,0.078575261,-0.044346698,9.799703598
1784243449.959801,-0.006416986,-0.006311703,0.904715598,0.001039800,0.000060909,0.000197976,0.077678129,-0.045548718,9.781313896
1784243449.961803,-0.006416986,-0.006311703,0.904715598,0.000753048,-0.000254576,-0.000321223,0.052423704,-0.054335419,9.802304268
1784243449.963804,-0.006416780,-0.006309813,0.904715598,0.000473240,-0.000287529,-0.000391589,0.074515872,-0.045676999,9.805070877
1784243449.965806,-0.006416780,-0.006309813,0.904715598,0.000612192,-0.000229551,0.000262172,0.068451762,-0.067688696,9.760988235
1784243449.967803,-0.006416890,-0.006310397,0.904715598,0.000894215,-0.000364276,-0.000074600,0.033384763,-0.068184249,9.830891609
1784243449.969810,-0.006416890,-0.006310397,0.904715598,0.000485385,-0.000577254,-0.001061675,0.051835403,-0.066373758,9.795054436
1784243449.971802,-0.006416890,-0.006310397,0.904715598,-0.000372282,-0.000427246,-0.000660726,0.057065383,-0.079414532,9.792284966
1784243449.973808,-0.006418052,-0.006310171,0.904715598,-0.000602507,-0.000365304,0.000787040,0.032830175,-0.078335337,9.810201645
1784243449.975808,-0.006418052,-0.006310171,0.904715598,-0.000486411,-0.000897222,0.001514026,0.064214543,-0.043775175,9.808212280
1784243449.977811,-0.006416827,-0.006310547,0.904715598,-0.000651412,-0.001115496,0.001304050,0.055015106,-0.062055208,9.812121391
1784243449.979817,-0.006416827,-0.006310547,0.904715598,-0.000907756,-0.000516298,0.001028730,0.059025284,-0.065976448,9.789235115
1784243449.981821,-0.006416827,-0.006310547,0.904715598,-0.001036452,0.000349353,0.001191681,0.039669346,-0.070269242,9.797706604
1784243449.983815,-0.006417179,-0.006308926,0.904715598,-0.000949128,0.000926235,0.000949342,0.054921366,-0.070089899,9.808033943
1784243449.985893,-0.006417179,-0.006308926,0.904715598,-0.000745946,0.000806999,0.000445084,0.055660024,-0.047138337,9.792490959
1784243449.987820,-0.006416134,-0.006308076,0.904715657,-0.000602782,0.000287766,0.000147527,0.044093605,-0.036879711,9.819892883
1784243449.989824,-0.006416134,-0.006308076,0.904715657,-0.000317261,-0.000091337,-0.000249474,0.050110746,-0.023343919,9.795775414
1784243449.991822,-0.006416134,-0.006308076,0.904715657,0.000113130,0.000046510,-0.000933165,0.077205561,-0.046947259,9.789822578
1784243449.993829,-0.006414384,-0.006307039,0.904715657,0.000159417,0.000544909,-0.001285020,0.097196564,-0.062973641,9.802291870
1784243449.995827,-0.006414384,-0.006307039,0.904715657,0.000171393,0.000741359,-0.000748026,0.078711152,-0.071947977,9.774419785
1784243449.997829,-0.006414872,-0.006308103,0.904715657,0.000429543,0.000627357,0.000039272,0.038944326,-0.057549499,9.774475098
1784243449.999823,-0.006414872,-0.006308103,0.904715657,0.000363150,0.000368608,0.000358702,0.053118162,-0.070943750,9.805336952
1784243450.001823,-0.006414872,-0.006308103,0.904715657,0.000058404,-0.000228004,0.000083272,0.022270875,-0.098733015,9.799301147
1784243450.003829,-0.006417080,-0.006305561,0.904715657,-0.000380378,-0.000694851,-0.000352574,0.062810414,-0.087479442,9.781927109
1784243450.005828,-0.006417080,-0.006305561,0.904715657,-0.000696018,-0.000692228,-0.000794530,0.064052261,-0.060050849,9.765964508
1784243450.007833,-0.006416828,-0.006305808,0.904715657,-0.000723146,-0.000262405,-0.000806903,0.081077345,-0.060066186,9.800501823
1784243450.009829,-0.006416828,-0.006305808,0.904715657,-0.000453576,0.000135268,-0.000435897,0.071962908,-0.072001636,9.794139862
1784243450.011831,-0.006416828,-0.006305808,0.904715657,0.000538275,0.000293829,-0.000724697,0.053997040,-0.071101502,9.825960159
1784243450.013829,-0.006417336,-0.006306209,0.904715657,0.001984825,0.000438637,-0.001114289,0.074515805,-0.082456887,9.810663223
1784243450.015834,-0.006417336,-0.006306209,0.904715657,0.002345600,0.000238752,-0.000281693,0.082686976,-0.077356167,9.771698952
1784243450.017836,-0.006418093,-0.006307025,0.904715657,0.001486418,0.000102468,0.000774409,0.042870324,-0.102562085,9.796605110
1784243450.019842,-0.006418093,-0.006307025,0.904715657,0.000919997,0.000260954,0.000498294,0.058134492,-0.065507442,9.787892342
1784243450.021836,-0.006418093,-0.006307025,0.904715657,0.000940363,0.000159403,-0.000299084,0.042403679,-0.067539670,9.786967278
1784243450.023841,-0.006418134,-0.006306265,0.904715657,0.001329101,-0.000318353,-0.000267859,0.062127717,-0.031162176,9.802462578
1784243450.025847,-0.006418134,-0.006306265,0.904715657,0.001504638,-0.000558123,-0.000100265,0.060322199,-0.033655249,9.778235435
1784243450.027843,-0.006416394,-0.006306734,0.904715657,0.001727423,-0.000512292,-0.000879386,0.077658795,-0.083291292,9.796314240
1784243450.029845,-0.006416394,-0.006306734,0.904715657,0.001741122,-0.000854953,-0.001503455,0.064247809,-0.041081045,9.807332993
1784243450.031845,-0.006416394,-0.006306734,0.904715657,0.000956927,-0.000760118,-0.000964575,0.055513699,-0.058019772,9.810802460
1784243450.033883,-0.006416570,-0.006306212,0.904715657,0.000514303,-0.000424533,-0.000227333,0.044243034,-0.061942670,9.815698624
1784243450.035851,-0.006416570,-0.006306212,0.904715657,0.000605365,-0.000452960,0.000056151,0.031123519,-0.071132243,9.808452606
1784243450.037899,-0.006417016,-0.006304357,0.904715657,0.000799018,-0.000490606,-0.000134366,0.042101536,-0.054219089,9.804536819
1784243450.039868,-0.006417016,-0.006304357,0.904715657,0.000936627,-0.000876869,-0.000455678,0.072429448,-0.070650786,9.792354584
1784243450.041857,-0.006417016,-0.006304357,0.904715657,0.000677667,-0.000833277,-0.000219164,0.061873712,-0.090209760,9.789530754
1784243450.043857,-0.006419224,-0.006304810,0.904715598,0.000515563,0.000007383,0.000084046,0.076899260,-0.072465144,9.787416458
1784243450.045916,-0.006419224,-0.006304810,0.904715598,0.000506644,0.000620388,0.000016279,0.076647058,-0.058750298,9.749397278
1784243450.047868,-0.006419267,-0.006305119,0.904715598,0.000094623,0.000403919,0.000197247,0.043514617,-0.049654979,9.790221214
1784243450.049862,-0.006419267,-0.006305119,0.904715598,-0.000424607,0.000173158,0.000887931,0.072042145,-0.064081423,9.814365387
1784243450.051858,-0.006419267,-0.006305119,0.904715598,-0.000945458,0.000151799,0.001193108,0.073569387,-0.049700316,9.805492401
1784243450.053865,-0.006419165,-0.006305772,0.904715598,-0.001416412,-0.000110668,0.000745988,0.035371866,-0.054936565,9.791524887
1784243450.055874,-0.006419165,-0.006305772,0.904715598,-0.001038491,-0.000455189,0.000673283,0.037631080,-0.054841306,9.774042130
1784243450.057884,-0.006418720,-0.006305090,0.904715598,-0.000132806,-0.000981626,0.000403163,0.049609780,-0.065798476,9.781157494
