time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784243566.171123,-0.003971376,-0.009694841,0.882696688,-0.000399478,0.001373945,0.001092046,0.112865061,-0.068728097,9.764162064
1784243566.173056,-0.003971376,-0.009694841,0.882696688,-0.000133246,0.001031945,0.001722029,0.078745000,-0.031254075,9.785440445
1784243566.175065,-0.003971127,-0.009694334,0.882696688,-0.001183432,0.000944748,0.001439766,0.074671298,-0.032292213,9.812778473
1784243566.177059,-0.003971127,-0.009694334,0.882696688,-0.002235799,0.000959309,0.000746720,0.088699654,-0.025455315,9.771141052
1784243566.179043,-0.003970111,-0.009694313,0.882696688,-0.002357735,0.000457216,0.000528840,0.087673180,-0.035378449,9.782285690
1784243566.181058,-0.003970111,-0.009694313,0.882696688,-0.002011188,0.000300530,0.000733010,0.082650565,-0.043295838,9.770572662
1784243566.183088,-0.003970111,-0.009694313,0.882696688,-0.001242046,0.001030097,0.000345713,0.100572534,-0.044542555,9.787617683
1784243566.185047,-0.003970424,-0.009693593,0.882696688,-0.000012473,0.001502690,-0.000314782,0.127733424,-0.061950758,9.792464256
1784243566.187070,-0.003970424,-0.009693593,0.882696688,0.000765858,0.001055384,-0.000656127,0.109033369,-0.050024144,9.787143707
1784243566.189040,-0.003970877,-0.009693933,0.882696688,0.000693718,0.000160112,-0.000854827,0.111399859,-0.039355882,9.794836044
1784243566.191058,-0.003970877,-0.009693933,0.882696688,0.000514737,-0.000350380,-0.000403279,0.094692171,-0.011303408,9.786481857
1784243566.193077,-0.003970877,-0.009693933,0.882696688,0.000570143,-0.000098948,0.000687613,0.081818543,-0.035878863,9.800209045
1784243566.195070,-0.003971020,-0.009692716,0.882696688,0.000666241,0.000139939,0.001103628,0.083366729,-0.018495575,9.810185432
1784243566.197031,-0.003971020,-0.009692716,0.882696688,0.000571023,-0.000040695,0.000826793,0.089919634,-0.034168240,9.797089577
1784243566.199079,-0.003971281,-0.009692299,0.882696688,0.000462942,-0.000353409,0.000876777,0.092840232,-0.050131962,9.831510544
1784243566.201045,-0.003971281,-0.009692299,0.882696688,0.000259079,-0.000366202,0.001293277,0.100234658,-0.035961956,9.778706551
1784243566.203068,-0.003971281,-0.009692299,0.882696688,0.000259923,0.000054960,0.001581277,0.089185007,-0.057088006,9.808150291
1784243566.205067,-0.003971734,-0.009691792,0.882696688,0.000926613,0.000102269,0.001844849,0.079308845,-0.055782977,9.831461906
1784243566.207116,-0.003971734,-0.009691792,0.882696688,0.001445676,-0.000115727,0.002053557,0.078298204,-0.029612282,9.807420731
1784243566.209074,-0.003971254,-0.009690958,0.882696688,0.001195520,-0.000028789,0.001393639,0.047458652,-0.017724402,9.829434395
1784243566.211081,-0.003971254,-0.009690958,0.882696688,0.001068672,0.000054382,0.000515953,0.086710081,-0.037912004,9.825307846
1784243566.213140,-0.003971254,-0.009690958,0.882696688,0.001371493,0.000034285,0.000598820,0.108715184,-0.037640832,9.810534477
1784243566.215069,-0.003971247,-0.009692056,0.882696688,0.001250649,0.000081086,0.000045225,0.080265462,-0.014900256,9.814240456
1784243566.217095,-0.003971752,-0.009689351,0.882683814,0.000824032,0.000323906,-0.001512753,0.098948739,-0.032227475,9.759900093
1784243566.219106,-0.003964712,-0.009688794,0.882685483,0.000999325,0.000472798,-0.001870880,0.100511149,-0.048269335,9.807769775
1784243566.221076,-0.003957890,-0.009687252,0.882682443,0.001630860,0.000499740,-0.001463509,0.095224701,-0.078127272,9.794571877
1784243566.223074,-0.003958592,-0.009685907,0.882684708,0.001603043,0.000560294,-0.001113135,0.079108536,-0.075601004,9.783363342
1784243566.225072,-0.003967347,-0.009677932,0.882687926,0.000645749,0.000989948,-0.000442040,0.078109525,-0.045691188,9.800590515
1784243566.227078,-0.003973093,-0.009677056,0.882688224,-0.000395224,0.001271428,-0.000080238,0.075185083,-0.026515804,9.818644524
1784243566.229072,-0.003975126,-0.009675541,0.882693231,-0.000851000,0.001058464,0.000307844,0.077952974,-0.019468773,9.830798149
1784243566.231078,-0.003978768,-0.009672314,0.882697940,-0.001037333,0.001061974,0.000880503,0.077173792,-0.048008524,9.813128471
1784243566.233102,-0.003975464,-0.009672331,0.882698059,-0.000775329,0.000990237,0.000972964,0.104572766,-0.047326583,9.793882370
1784243566.235077,-0.003976170,-0.009672821,0.882696927,-0.000351009,0.000703905,0.000642248,0.094857953,-0.033805784,9.800235748
1784243566.237077,-0.003980353,-0.009681497,0.882691741,-0.000553682,-0.000090926,0.000036210,0.087900862,-0.052934170,9.793379784
1784243566.239123,-0.003981080,-0.009689447,0.882681012,-0.000723735,-0.001205812,-0.001040118,0.084968485,-0.035442527,9.796179771
1784243566.241084,-0.003978027,-0.009689197,0.882680297,-0.000353543,-0.001413120,-0.001531227,0.076419897,-0.037137851,9.797953606
1784243566.243069,-0.003975220,-0.009679941,0.882685840,0.000143352,-0.000385286,-0.000798957,0.077251881,-0.040907923,9.822589874
1784243566.245103,-0.003975220,-0.009679941,0.882685840,0.000492841,0.000972931,0.000171113,0.077251881,-0.040907923,9.822589874
1784243566.247064,-0.003975157,-0.009679107,0.882687211,0.000486924,0.001176212,0.000385606,0.080990978,-0.066826940,9.806286812
1784243566.249064,-0.003973794,-0.009685696,0.882687092,0.000453750,0.000246983,0.000156725,0.106414244,-0.043333821,9.796149254
1784243566.251087,-0.003968706,-0.009692102,0.882688224,0.000842005,-0.000705604,0.000187678,0.138568118,-0.017900182,9.816071510
1784243566.253081,-0.003968378,-0.009693419,0.882691085,0.000983632,-0.001039264,0.000410579,0.141405031,-0.007065964,9.799554825
1784243566.255068,-0.003966851,-0.009694058,0.882693648,0.000784503,-0.000793648,0.000665462,0.113067448,-0.012114269,9.804426193
1784243566.257054,-0.003965642,-0.009691666,0.882693052,0.000696972,-0.000361912,0.000617968,0.074558385,-0.042909738,9.793881416
1784243566.259159,-0.003969301,-0.009685275,0.882686853,0.000402922,0.000264726,-0.000010968,0.085098580,-0.060658105,9.813504219
1784243566.261064,-0.003970176,-0.009684439,0.882680953,0.000043773,0.000617006,-0.000830988,0.087345436,-0.062281556,9.785698891
1784243566.263100,-0.003973595,-0.009687703,0.882678926,-0.000498173,0.000065812,-0.001288895,0.093630604,-0.058283072,9.842220306
1784243566.265092,-0.003983047,-0.009684689,0.882634580,-0.000921071,-0.000553846,-0.001149202,0.067962348,-0.055879671,9.802459717
1784243566.267105,-0.003982132,-0.009683615,0.882634342,-0.000700354,-0.000490162,-0.000773780,0.088483356,-0.041346993,9.801077843
1784243566.269085,-0.003981953,-0.009684609,0.882630348,-0.000477291,-0.000334305,-0.000848582,0.099271223,-0.001718789,9.816585541
1784243566.271120,-0.003984604,-0.009688276,0.882634461,-0.000554026,-0.000543942,-0.000616426,0.107814781,-0.040895056,9.765680313
1784243566.273131,-0.003984604,-0.009688276,0.882634461,-0.000758051,-0.000896486,0.000110955,0.107814781,-0.040895056,9.765680313
1784243566.275092,-0.003983343,-0.009686107,0.882619441,-0.000484940,-0.000775226,-0.000114556,0.087552302,-0.044032797,9.802404404
1784243566.277089,-0.003974053,-0.009684572,0.882615566,-0.000028970,-0.000399681,-0.000601761,0.071012750,-0.037653547,9.817225456
1784243566.279106,-0.003975051,-0.009685867,0.882617235,-0.000007922,-0.000342388,-0.000362675,0.084093586,-0.034442894,9.783184052
1784243566.281209,-0.003977683,-0.009689001,0.882620275,-0.000249036,-0.000551424,0.000062417,0.093048699,-0.034707319,9.804262161
1784243566.283171,-0.003978156,-0.009693299,0.882616699,-0.000444040,-0.000899274,0.000009936,0.111314707,-0.046107091,9.799275398
1784243566.285149,-0.003977799,-0.009695398,0.882615805,-0.000385794,-0.001081181,-0.000298357,0.085188396,-0.054275360,9.797852516
1784243566.287113,-0.003979311,-0.009695699,0.882624209,-0.000324509,-0.000966894,0.000290792,0.072894335,-0.030912613,9.810993195
1784243566.289126,-0.003978815,-0.009698354,0.882633209,-0.000263824,-0.000924015,0.001405749,0.114686809,-0.027301176,9.794916153
1784243566.291126,-0.003976081,-0.009698628,0.882635772,0.000034646,-0.000875085,0.001821347,0.098348193,-0.041930974,9.802428246
