time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784244361.790679,-0.005137510,-0.003693322,-0.172161877,0.000726889,0.001421775,-0.000362246,0.036402989,-0.080135018,9.804812431
1784244361.792650,-0.005140929,-0.003692512,-0.172161937,0.000677388,0.000975210,0.000051351,0.047354661,-0.063835174,9.824206352
1784244361.794546,-0.005141160,-0.003690452,-0.172163025,0.000283814,0.000944168,-0.000043417,0.038997684,-0.051049475,9.805450439
1784244361.796534,-0.005141058,-0.003684641,-0.172163874,0.000235964,0.001261296,-0.000164338,0.036460947,-0.038440280,9.801046371
1784244361.798557,-0.005140319,-0.003679604,-0.172163382,0.000184327,0.001635831,-0.000143343,0.011576833,-0.055956658,9.788805008
1784244361.800550,-0.005141619,-0.003678554,-0.172161028,0.000052283,0.001584380,0.000086616,0.014912590,-0.038653612,9.806853294
1784244361.802548,-0.005139158,-0.003674891,-0.172159478,0.000117851,0.001472715,0.000326190,0.038672458,-0.041963685,9.788473129
1784244361.804522,-0.005133890,-0.003674508,-0.172160029,0.000563840,0.001388291,0.000302763,0.026336590,-0.060978565,9.775338173
1784244361.806510,-0.005131170,-0.003676143,-0.172166735,0.000904265,0.000970069,-0.000275873,0.044991106,-0.076101318,9.789155960
1784244361.808551,-0.005127868,-0.003680670,-0.172168702,0.001148384,0.000288011,-0.000789770,0.036865331,-0.044469465,9.766037941
1784244361.810583,-0.005121195,-0.003681827,-0.172167420,0.001596498,-0.000179098,-0.000621990,0.011846423,-0.032754894,9.801956177
1784244361.812568,-0.005126416,-0.003676752,-0.172170401,0.001261201,0.000136168,-0.000569370,0.034472566,-0.053724267,9.811707497
1784244361.814531,-0.005132423,-0.003667498,-0.172169954,0.000193024,0.001077020,-0.000582539,0.012295702,-0.032350831,9.807338715
1784244361.816519,-0.005132302,-0.003660624,-0.172172129,-0.000222310,0.001884171,-0.000536722,0.013581448,-0.036491945,9.820315361
1784244361.818520,-0.005128809,-0.003660868,-0.172170311,0.000082195,0.001781104,-0.000415972,0.032023799,-0.071931563,9.793205261
1784244361.820541,-0.005123960,-0.003659087,-0.172170341,0.000625401,0.001359685,-0.000185011,0.036254313,-0.054255631,9.820223808
1784244361.822520,-0.005126483,-0.003653769,-0.172178656,0.000611429,0.001475290,-0.000701024,0.060898576,-0.058895655,9.798248291
1784244361.824558,-0.005132330,-0.003647035,-0.172177106,-0.000026719,0.002033592,-0.000966979,0.044176389,-0.068547614,9.799516678
1784244361.826560,-0.005128796,-0.003639942,-0.172170490,-0.000076845,0.002555634,-0.000148522,0.035010446,-0.084536977,9.796265602
1784244361.828540,-0.005128866,-0.003636551,-0.172165498,0.000351457,0.002497504,0.000680685,0.049125403,-0.068505935,9.784724236
1784244361.830529,-0.005130939,-0.003636811,-0.172169819,0.000280126,0.001959852,0.000541261,0.014214392,-0.058043733,9.825556755
1784244361.832513,-0.005135437,-0.003639168,-0.172173396,-0.000244020,0.001252826,-0.000140474,0.018139703,-0.032339726,9.795238495
1784244361.834517,-0.005131878,-0.003642089,-0.172175080,-0.000321279,0.000517384,-0.000457336,0.008314342,-0.028607296,9.792116165
1784244361.836518,-0.005134461,-0.003642340,-0.172183424,-0.000248665,0.000126218,-0.001012089,0.000762359,-0.022641551,9.785869598
1784244361.838525,-0.005132840,-0.003637248,-0.172184780,-0.000317881,0.000256446,-0.001396049,0.034732759,-0.034649167,9.775066376
1784244361.840548,-0.005130579,-0.003646058,-0.172172666,-0.000034379,-0.000236780,-0.000288517,0.032844856,-0.040224284,9.806410789
1784244361.842518,-0.005133218,-0.003646582,-0.172171950,-0.000047489,-0.000810598,0.000661179,0.014897266,-0.079201236,9.775209427
1784244361.844514,-0.005128368,-0.003638281,-0.172177792,0.000192446,-0.000161828,0.000131839,0.008501455,-0.050941147,9.782109261
1784244361.846522,-0.005125107,-0.003633834,-0.172174916,0.000768337,0.000647569,-0.000106851,0.026344880,-0.058481578,9.802252769
1784244361.848516,-0.005130168,-0.003634742,-0.172172353,0.000457262,0.000683566,0.000292678,0.042864416,-0.029049989,9.792144775
1784244361.850525,-0.005127995,-0.003635844,-0.172175616,0.000155234,0.000335166,0.000166332,0.029480577,-0.020973193,9.814601898
1784244361.852522,-0.005128196,-0.003634536,-0.172178328,0.000245377,0.000260221,-0.000285256,0.032838065,-0.041088406,9.801922798
1784244361.854524,-0.005132576,-0.003635749,-0.172174171,-0.000196196,0.000225994,-0.000109476,0.032540694,-0.064509563,9.819705009
1784244361.856521,-0.005127221,-0.003636095,-0.172173709,-0.000139902,0.000087661,0.000235169,0.035944864,-0.043019067,9.815810204
1784244361.858522,-0.005120151,-0.003634426,-0.172177732,0.000663540,0.000144090,-0.000071279,0.027428824,-0.081236742,9.786864281
1784244361.860516,-0.005118740,-0.003628898,-0.172175393,0.000981634,0.000583286,-0.000166368,0.012293741,-0.067929931,9.833114624
1784244361.862555,-0.005116323,-0.003626831,-0.172169298,0.000977071,0.000937577,0.000450146,0.041120585,-0.060946085,9.807183266
1784244361.864543,-0.005112123,-0.003624817,-0.172168538,0.001152267,0.000960423,0.000789932,0.013036637,-0.082940005,9.800289154
1784244361.866528,-0.005113163,-0.003624300,-0.172166228,0.001044302,0.000873161,0.000783783,0.022548126,-0.037880857,9.810451508
1784244361.868631,-0.005116188,-0.003624041,-0.172159106,0.000402200,0.000633019,0.001210669,0.015971687,-0.025636077,9.801556587
1784244361.870538,-0.005115598,-0.003622213,-0.172159716,0.000044365,0.000548107,0.001323757,0.015189655,-0.015798051,9.805654526
1784244361.872572,-0.005109372,-0.003617262,-0.172161594,0.000494350,0.000860333,0.000795592,0.019421708,-0.037726145,9.794308662
1784244361.874539,-0.005101590,-0.003617601,-0.172157124,0.001198467,0.000847637,0.000753074,0.036652431,-0.059929084,9.798218727
1784244361.876536,-0.005097851,-0.003618462,-0.172154829,0.001543712,0.000442443,0.001008456,0.048396204,-0.053387754,9.802307129
1784244361.878551,-0.005095305,-0.003614031,-0.172151923,0.001619949,0.000635795,0.001088632,0.034734543,-0.068982951,9.814747810
1784244361.880540,-0.005089839,-0.003608006,-0.172158569,0.001790507,0.001247152,0.000536082,0.016761892,-0.034193814,9.806435585
1784244361.882543,-0.005088709,-0.003606976,-0.172161832,0.001749728,0.001390858,-0.000283579,0.034408398,-0.061120208,9.780724525
1784244361.884584,-0.005088816,-0.003606312,-0.172157899,0.001370292,0.001080909,-0.000161487,0.027687943,-0.058117636,9.811671257
1784244361.886552,-0.005083164,-0.003601362,-0.172153145,0.001402848,0.001118450,0.000470968,-0.005351339,-0.044234287,9.809038162
1784244361.888576,-0.005083406,-0.003592536,-0.172154516,0.001413447,0.001526138,0.000572766,0.012185441,-0.078105859,9.815115929
1784244361.890556,-0.005086578,-0.003590937,-0.172150061,0.000822059,0.001595717,0.000626655,0.007046092,-0.055839121,9.843497276
1784244361.892558,-0.005087585,-0.003589621,-0.172151998,0.000315890,0.001359452,0.000628090,0.020911090,-0.061233900,9.821059227
1784244361.894562,-0.005093860,-0.003584251,-0.172152072,-0.000176913,0.001352548,0.000322978,0.029640133,-0.043929890,9.829248428
1784244361.896557,-0.005093775,-0.003576856,-0.172147065,-0.000460242,0.001757806,0.000572461,0.026530571,-0.042831559,9.806387901
1784244361.898550,-0.005088833,-0.003572525,-0.172149748,0.000038688,0.002028535,0.000574672,0.031659290,-0.062750734,9.825991631
1784244361.900549,-0.005089651,-0.003576782,-0.172148794,0.000339989,0.001436124,0.000301008,0.026424354,-0.050964810,9.816200256
1784244361.902572,-0.005092378,-0.003583143,-0.172143877,0.000008437,0.000323322,0.000620478,0.027435267,-0.081185862,9.779691696
1784244361.904573,-0.005088404,-0.003586588,-0.172141284,0.000236510,-0.000511069,0.000962133,0.036078170,-0.071046039,9.787386894
1784244361.906561,-0.005083831,-0.003588775,-0.172147214,0.000895700,-0.000831705,0.000473284,0.020317433,-0.074530266,9.801695824
1784244361.908563,-0.005090491,-0.003584328,-0.172152340,0.000568866,-0.000567394,-0.000404847,0.023091426,-0.030655639,9.801531792
1784244361.910562,-0.005097073,-0.003578185,-0.172148421,-0.000424125,0.000187174,-0.000374708,0.024505420,-0.062458433,9.797742844
1784244361.912564,-0.005093003,-0.003571892,-0.172143653,-0.000477451,0.000977538,0.000317570,0.014580795,-0.068425350,9.772587776
1784244361.914567,-0.005094505,-0.003571306,-0.172141075,-0.000069168,0.001081063,0.000729708,0.023309316,-0.052341215,9.763284683
1784244361.916566,-0.005093905,-0.003568946,-0.172142431,-0.000008694,0.000891593,0.000612902,0.038449604,-0.024369797,9.771996498
1784244361.918566,-0.005089846,-0.003569067,-0.172138780,0.000216955,0.000841161,0.000600794,0.045790531,-0.046185885,9.802350998
1784244361.920573,-0.005087995,-0.003570705,-0.172133818,0.000467769,0.000530846,0.001023830,0.040713314,-0.056965925,9.815277100
1784244361.922581,-0.005082938,-0.003573700,-0.172132835,0.000811098,0.000070169,0.001150437,0.028884720,-0.072282054,9.785129547
1784244361.924574,-0.005073789,-0.003573143,-0.172127262,0.001587373,-0.000091332,0.001280579,0.005742963,-0.053861510,9.819747925
1784244361.926582,-0.005072963,-0.003570793,-0.172121748,0.001866772,0.000152204,0.001683824,0.029216975,-0.043317191,9.806836128
1784244361.928576,-0.005073327,-0.003572347,-0.172118083,0.001381651,0.000157825,0.001849170,0.035427857,-0.048820909,9.813531876
1784244361.930584,-0.005071179,-0.003572395,-0.172115475,0.001117366,0.000000184,0.001770294,0.027905388,-0.041406356,9.792500496
1784244361.932598,-0.005065845,-0.003573803,-0.172113433,0.001323038,-0.000100285,0.001605235,0.019249547,-0.016084719,9.775618553
