time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784241266.522122,-0.005209885,0.001366534,-0.060623057,-0.000008993,-0.001820132,-0.001240950,-0.041256092,-0.045057815,9.800480843
1784241266.523980,-0.005204959,0.001366448,-0.060623426,0.000891271,-0.001932188,-0.001226231,-0.036014486,-0.057196319,9.796821594
1784241266.525996,-0.005206764,0.001369268,-0.060623769,0.000903589,-0.001270573,-0.000941612,0.008268187,-0.068993136,9.800823212
1784241266.527950,-0.005204168,0.001375308,-0.060626756,0.000754766,-0.000371804,-0.000912717,-0.011802959,-0.018846380,9.841924667
1784241266.529963,-0.005203998,0.001378985,-0.060626302,0.000737787,0.000389617,-0.000836773,0.003542485,-0.052682474,9.783885956
1784241266.531944,-0.005202807,0.001381001,-0.060628790,0.000596436,0.000729483,-0.000746746,-0.005077509,-0.058994137,9.804910660
1784241266.533941,-0.005199176,0.001384114,-0.060632586,0.000728800,0.000940306,-0.000969822,0.009020193,-0.043909881,9.800536156
1784241266.535954,-0.005195657,0.001385130,-0.060634539,0.001005737,0.001073722,-0.001096053,0.014980936,-0.071246043,9.790503502
1784241266.537955,-0.005194446,0.001386148,-0.060638081,0.001043166,0.001028580,-0.001171013,-0.073764354,-0.062041223,9.790028572
1784241266.539943,-0.005194881,0.001383989,-0.060629416,0.000812076,0.000670069,-0.000505773,-0.050928123,-0.067573249,9.770738602
1784241266.541947,-0.005193101,0.001385240,-0.060617805,0.000783938,0.000221086,0.001006977,-0.016309572,-0.061801709,9.778877258
1784241266.543939,-0.005195338,0.001387622,-0.060622938,0.000642457,0.000207053,0.001171857,0.009289701,-0.025571730,9.741475105
1784241266.545948,-0.005202638,0.001389360,-0.060625434,-0.000287033,0.000481594,0.000335498,-0.002208357,-0.045068707,9.794689178
1784241266.547940,-0.005210209,0.001391794,-0.060624186,-0.001326785,0.000682849,0.000158894,-0.026508933,-0.048558146,9.825130463
1784241266.549942,-0.005213524,0.001393125,-0.060627732,-0.001705174,0.000753819,-0.000041787,-0.018057019,-0.056136459,9.804467201
1784241266.551930,-0.005214863,0.001392608,-0.060630500,-0.001529947,0.000640325,-0.000458962,-0.001029002,-0.057749689,9.811645508
