time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784241654.837881,-0.007010006,0.001462340,-0.105635546,-0.000568822,-0.000689253,0.000354870,-0.018881300,-0.087869175,9.794847488
1784241654.839800,-0.007010006,0.001462340,-0.105635546,-0.000324728,-0.000807707,-0.000101967,0.009982950,-0.076942720,9.781495094
1784241654.841788,-0.007011388,0.001461238,-0.105635546,0.000341790,-0.000617812,0.000632604,0.018606579,-0.067765594,9.798599243
1784241654.843768,-0.007011388,0.001461238,-0.105635546,0.000702474,-0.000263799,0.001439512,-0.015347890,-0.056037407,9.785640717
1784241654.845768,-0.007009922,0.001461383,-0.105635546,0.000623871,0.000020756,0.001214610,-0.014850053,-0.052818403,9.773108482
1784241654.847788,-0.007009922,0.001461383,-0.105635546,-0.000158768,-0.000154796,0.000180999,-0.058860209,-0.051333990,9.832704544
1784241654.849761,-0.007009922,0.001461383,-0.105635546,-0.000671319,0.000127799,-0.000100250,-0.052185908,-0.094722390,9.810464859
1784241654.851748,-0.007010316,0.001461994,-0.105635546,-0.000153861,0.000809264,-0.000174709,-0.044769716,-0.112296976,9.811254501
1784241654.853752,-0.007010316,0.001461994,-0.105635546,0.000453995,0.000925121,-0.000212653,0.019917641,-0.070896298,9.795441628
1784241654.855752,-0.007010228,0.001460879,-0.105635561,0.000836702,0.000557644,0.000172283,0.007267664,-0.078306161,9.789106369
1784241654.857753,-0.007010228,0.001460879,-0.105635561,0.000645137,0.000189231,0.000090361,-0.008670292,-0.059783652,9.796381950
1784241654.859760,-0.007010228,0.001460879,-0.105635561,0.000145361,0.000085726,0.000193493,0.001021344,-0.038329117,9.786217690
1784241654.861766,-0.007008432,0.001460328,-0.105635568,-0.000092057,0.000061738,0.000467682,0.001017545,-0.038764358,9.784420967
1784241654.863753,-0.007008432,0.001460328,-0.105635568,0.000187794,0.000041483,0.000325146,-0.011912020,-0.067428701,9.806194305
1784241654.865754,-0.007008090,0.001459738,-0.105635568,0.000304433,0.000175757,-0.000445916,-0.032075945,-0.065330438,9.799462318
1784241654.867755,-0.007008090,0.001459738,-0.105635568,-0.000190803,0.000118059,-0.001045519,-0.001045805,-0.059503380,9.806256294
1784241654.869821,-0.007008090,0.001459738,-0.105635568,-0.000301507,0.000065581,-0.000218357,0.020094689,-0.093309648,9.796644211
1784241654.871754,-0.007009876,0.001457475,-0.105635583,0.000158772,-0.000034693,0.000745772,-0.005175218,-0.067870684,9.793194771
1784241654.873756,-0.007009876,0.001457475,-0.105635583,0.000568330,-0.000086115,0.000726296,-0.006190935,-0.078924663,9.774293900
1784241654.875767,-0.007010783,0.001456331,-0.105635583,0.000687781,-0.000029327,0.000333260,-0.017675115,-0.060316943,9.824615479
1784241654.877772,-0.007010783,0.001456331,-0.105635583,0.000774173,-0.000077062,-0.000097974,-0.032573435,-0.067736201,9.823657036
1784241654.879767,-0.007010783,0.001456331,-0.105635583,0.000437652,-0.000269411,-0.000431688,-0.021287473,-0.063692480,9.801726341
1784241654.881778,-0.007011122,0.001456547,-0.105635583,-0.000226706,-0.000623662,-0.000243411,-0.047204878,-0.053596087,9.814766884
1784241654.883777,-0.007011122,0.001456547,-0.105635583,-0.000523265,-0.000166771,0.000385427,-0.014015597,-0.057379462,9.782942772
1784241654.885771,-0.007010484,0.001456432,-0.105635583,-0.000425286,0.000774767,0.000829368,-0.012348981,-0.030550843,9.787601471
1784241654.887767,-0.007010484,0.001456432,-0.105635583,-0.000956980,0.000855639,0.001076237,0.002955740,-0.063898012,9.786952019
1784241654.889766,-0.007010484,0.001456432,-0.105635583,-0.001476306,0.000394554,0.001162713,-0.018432125,-0.051091842,9.788806915
1784241654.891771,-0.007010032,0.001456964,-0.105635583,-0.000929742,0.000178444,0.000614085,-0.015514590,-0.069511227,9.790484428
1784241654.893778,-0.007010032,0.001456964,-0.105635583,0.000160141,0.000358082,-0.000197799,-0.018824967,-0.083777100,9.786355019
