time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784241409.833045,-0.001075480,-0.003698593,0.161873311,0.000798968,0.000264675,0.000722391,0.039959081,-0.009318531,9.794960022
1784241409.835020,-0.001075882,-0.003697403,0.161881477,0.000478416,0.000391493,0.001342547,0.071530737,0.003314409,9.788794518
1784241409.837017,-0.001069805,-0.003696528,0.161880046,0.000697944,0.000499206,0.001434093,0.033717122,-0.006086416,9.792732239
1784241409.839020,-0.001070145,-0.003697652,0.161873803,0.000858458,0.000421651,0.000525117,0.045225501,0.018760281,9.806352615
1784241409.841010,-0.001070231,-0.003699052,0.161869168,0.000593712,0.000136608,-0.000355564,0.015654519,-0.016486689,9.775612831
1784241409.843017,-0.001070240,-0.003696491,0.161866143,0.000456708,0.000125017,-0.000779328,0.026168652,0.001528090,9.806672096
1784241409.845039,-0.001067382,-0.003694757,0.161864713,0.000557593,0.000329072,-0.000869911,0.020586165,-0.015771655,9.792209625
1784241409.847046,-0.001060592,-0.003693676,0.161865160,0.001045372,0.000381822,-0.000701102,0.009546994,0.000774933,9.816514015
1784241409.849028,-0.001065528,-0.003693231,0.161872983,0.000873920,0.000332061,0.000052359,-0.009320082,-0.001585508,9.804377556
1784241409.851052,-0.001069078,-0.003691967,0.161873147,0.000062631,0.000357320,0.000582447,0.032385450,-0.042734597,9.782184601
1784241409.853040,-0.001072134,-0.003689226,0.161869079,-0.000236577,0.000431553,0.000157054,0.055247817,-0.006823059,9.794541359
1784241409.855068,-0.001071436,-0.003687757,0.161872163,-0.000165561,0.000499297,0.000046265,0.027246207,-0.022088014,9.786346436
1784241409.857054,-0.001074319,-0.003687933,0.161877081,-0.000224753,0.000456085,0.000578626,0.022702798,-0.025312511,9.806945801
1784241409.859054,-0.001074684,-0.003688552,0.161875904,-0.000341057,0.000283171,0.000676712,0.046153095,-0.018602706,9.766212463
1784241409.861070,-0.001078768,-0.003690437,0.161870748,-0.000552053,0.000036778,0.000061326,0.071405642,-0.005778355,9.807565689
1784241409.863074,-0.001082729,-0.003693280,0.161867410,-0.000886792,-0.000193877,-0.000531963,0.030404916,0.017628385,9.803192139
1784241409.865086,-0.001087153,-0.003696538,0.161872059,-0.001151307,-0.000455776,-0.000296807,0.029714130,-0.004134719,9.777498245
1784241409.867053,-0.001092318,-0.003700356,0.161881506,-0.001492087,-0.000776277,0.000740031,0.026259558,-0.028049450,9.807379723
1784241409.869108,-0.001094807,-0.003698582,0.161883533,-0.001609648,-0.000668076,0.001316949,0.059969433,0.012397672,9.792428970
1784241409.871099,-0.001093774,-0.003692328,0.161883712,-0.001270927,0.000058016,0.001109696,0.057370719,-0.016719665,9.796273232
1784241409.873074,-0.001095469,-0.003694092,0.161883056,-0.001007024,0.000461893,0.000777526,0.065920047,-0.051797878,9.799195290
1784241409.875079,-0.001102847,-0.003702592,0.161882043,-0.001385975,-0.000245241,0.000456850,0.053633112,0.007995375,9.792841911
1784241409.877091,-0.001107052,-0.003703582,0.161886171,-0.001862081,-0.000796214,0.000547656,0.039423022,-0.016486522,9.795809746
1784241409.879080,-0.001104480,-0.003701336,0.161889002,-0.001532599,-0.000468467,0.000871669,0.038018346,-0.020173786,9.812821388
1784241409.881074,-0.001102707,-0.003701709,0.161887035,-0.000821319,-0.000214242,0.000693353,0.008060537,-0.012068318,9.798049927
1784241409.883075,-0.001108843,-0.003703176,0.161890894,-0.000795374,-0.000384161,0.000632898,0.025762243,0.004704546,9.801760674
1784241409.885070,-0.001106285,-0.003701205,0.161895588,-0.000721566,-0.000349312,0.001041124,0.017639045,-0.035580993,9.810909271
1784241409.887065,-0.001104704,-0.003702124,0.161896810,-0.000159974,-0.000220298,0.001159378,0.034063283,-0.015006875,9.786398888
1784241409.889120,-0.001103786,-0.003708579,0.161893204,0.000135772,-0.000697633,0.000682555,0.018996373,0.000053986,9.774824142
1784241409.891103,-0.001105233,-0.003709462,0.161894172,0.000062383,-0.001006143,0.000316903,0.027398515,-0.045101941,9.809064865
1784241409.893092,-0.001106322,-0.003704076,0.161898896,-0.000038087,-0.000441849,0.000614456,0.039727300,-0.028574506,9.793939590
1784241409.895076,-0.001107509,-0.003704705,0.161901399,-0.000093264,-0.000013626,0.000939656,0.046026058,0.009068522,9.781633377
1784241409.897069,-0.001112557,-0.003709446,0.161900461,-0.000555586,-0.000360764,0.000793130,0.014153111,0.006115601,9.750201225
1784241409.899079,-0.001114741,-0.003707117,0.161896884,-0.000961556,-0.000412368,0.000272207,0.040644553,-0.027213497,9.789914131
1784241409.901066,-0.001110809,-0.003705388,0.161894158,-0.000583384,-0.000024472,-0.000230201,0.050817803,-0.038636971,9.802851677
1784241409.903063,-0.001110928,-0.003705070,0.161896169,-0.000074745,0.000163271,-0.000217270,0.069303095,-0.030879339,9.812784195
1784241409.905092,-0.001107624,-0.003703676,0.161908597,0.000256964,0.000276151,0.000820908,0.024527820,0.012492932,9.779841423
1784241409.907108,-0.001104095,-0.003703111,0.161920175,0.000586470,0.000263455,0.002226686,0.009533237,-0.001359942,9.801705360
1784241409.909093,-0.001104968,-0.003706332,0.161910206,0.000537381,-0.000057364,0.001732233,0.039793707,0.013187020,9.780757904
1784241409.911095,-0.001105528,-0.003704263,0.161902145,0.000289637,-0.000118608,0.000036820,0.030466765,0.020548264,9.770483971
1784241409.913087,-0.001112718,-0.003696817,0.161902547,-0.000409038,0.000558015,-0.000491056,0.021292025,0.006515726,9.807147980
1784241409.915097,-0.001115462,-0.003690826,0.161910146,-0.001062288,0.001315941,0.000190697,0.039515328,0.026695199,9.771877289
1784241409.917080,-0.001109104,-0.003695060,0.161910325,-0.000660235,0.001120759,0.000666526,0.053336777,-0.012986033,9.845610619
1784241409.919109,-0.001102232,-0.003694142,0.161904395,0.000282024,0.000635229,0.000091639,0.021351969,-0.026953559,9.788104057
1784241409.921074,-0.001104714,-0.003691837,0.161906153,0.000502414,0.000681869,-0.000217360,0.035504043,-0.008603221,9.765368462
1784241409.923088,-0.001106963,-0.003692322,0.161913484,0.000081283,0.000626587,0.000458707,0.024436334,0.006907542,9.809395790
1784241409.925092,-0.001110307,-0.003695841,0.161915228,-0.000284034,0.000190964,0.000948919,0.017500600,-0.012052330,9.778779984
1784241409.927122,-0.001109808,-0.003696200,0.161911920,-0.000422262,-0.000159333,0.000583981,0.069911025,-0.017065067,9.822287560
