time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784244744.369295,-0.006092413,0.003625507,0.858202159,0.001017417,0.002286884,0.001291455,-0.074639656,-0.061044771,9.777481079
1784244744.371266,-0.006090097,0.003631117,0.858203769,0.001578597,0.002366979,0.001120330,-0.069367088,-0.069291525,9.793573380
1784244744.373247,-0.006091819,0.003639875,0.858205974,0.001211775,0.002613240,0.001067689,-0.062483776,-0.055608619,9.810256958
1784244744.375232,-0.006095658,0.003642901,0.858207285,0.000526818,0.002617262,0.001009648,-0.033319458,-0.057208560,9.793684959
1784244744.377279,-0.006092851,0.003644794,0.858208001,0.000313227,0.002239685,0.000875440,-0.029697439,-0.053756710,9.805815697
1784244744.379250,-0.006090218,0.003647210,0.858208179,0.000537079,0.001924977,0.000705846,-0.019662580,-0.077214710,9.810159683
1784244744.381249,-0.006094303,0.003652095,0.858210623,0.000231974,0.001898091,0.000690993,-0.024438798,-0.064544968,9.801268578
1784244744.383234,-0.006095764,0.003656422,0.858220220,-0.000153357,0.001984384,0.001312316,-0.047875118,-0.072360195,9.808369637
1784244744.385272,-0.006091841,0.003662015,0.858229220,0.000107813,0.002092635,0.002217354,-0.045306977,-0.084721379,9.777807236
1784244744.387255,-0.006087640,0.003669462,0.858230829,0.000627336,0.002405255,0.002336935,-0.046532754,-0.073622748,9.794464111
1784244744.389288,-0.006083633,0.003670869,0.858231902,0.001130347,0.002328987,0.001880998,-0.044877887,-0.048913103,9.782070160
1784244744.391300,-0.006084866,0.003668032,0.858237147,0.001126988,0.001573895,0.001797093,-0.043645810,-0.019940676,9.801088333
1784244744.393280,-0.006087926,0.003668494,0.858236551,0.000328727,0.000979067,0.001626145,-0.056521636,-0.044938661,9.811225891
1784244744.395273,-0.006089428,0.003666722,0.858230889,-0.000268316,0.000622442,0.000761890,-0.060020477,-0.075686902,9.793989182
1784244744.397264,-0.006086884,0.003669148,0.858230650,-0.000123201,0.000500274,0.000152029,-0.041052233,-0.064827904,9.807975769
1784244744.399254,-0.006089472,0.003674261,0.858236670,-0.000105309,0.000821334,0.000504176,-0.054624654,-0.074450165,9.799382210
1784244744.401268,-0.006096760,0.003677589,0.858245254,-0.000762058,0.001112791,0.001355678,-0.049550705,-0.062885508,9.802151680
1784244744.403267,-0.006092412,0.003680474,0.858246565,-0.000752739,0.001213851,0.001651211,-0.040659003,-0.069729432,9.803461075
1784244744.405291,-0.006089312,0.003684486,0.858249962,-0.000039447,0.001335956,0.001524912,-0.060334984,-0.064085037,9.801238060
1784244744.407281,-0.006088061,0.003690374,0.858250320,0.000265739,0.001643653,0.001361575,-0.043336947,-0.069177032,9.793599129
1784244744.409276,-0.006089379,0.003693061,0.858249485,0.000197931,0.001728713,0.000952521,-0.067948595,-0.064279452,9.779260635
1784244744.411282,-0.006087367,0.003695494,0.858249009,0.000200367,0.001556462,0.000599151,-0.051405817,-0.067796424,9.803014755
1784244744.413270,-0.006089962,0.003700880,0.858250022,0.000185122,0.001556383,0.000468760,-0.048726667,-0.068339296,9.811532974
1784244744.415278,-0.006089268,0.003705183,0.858244181,0.000085853,0.001685485,0.000013314,-0.046679821,-0.047730643,9.808080673
1784244744.417285,-0.006096834,0.003708779,0.858243167,-0.000402136,0.001766902,-0.000463619,-0.027308462,-0.042100314,9.800512314
1784244744.419285,-0.006105630,0.003716562,0.858250439,-0.001407495,0.002115784,0.000074060,-0.011305184,-0.017654140,9.799341202
1784244744.421318,-0.006105484,0.003718484,0.858253241,-0.001617409,0.002254652,0.000736719,-0.016786003,-0.062825426,9.797698975
1784244744.423290,-0.006105912,0.003717451,0.858251750,-0.001124084,0.001794524,0.000621648,-0.042172957,-0.084005602,9.797540665
