time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1784245541.211177,-0.007735098,0.010007056,-0.531519890,0.000025616,0.001685581,0.000811659,-0.099909969,-0.070362121,9.810125351
1784245541.213063,-0.007733533,0.010014410,-0.531516731,0.000127239,0.002238476,0.000983576,-0.074325047,-0.109019905,9.781657219
1784245541.215064,-0.007731633,0.010014430,-0.531520069,0.000323322,0.002138396,0.000709068,-0.090681843,-0.088229597,9.785810471
1784245541.217049,-0.007730545,0.010012866,-0.531522870,0.000442415,0.001456208,0.000108519,-0.115257919,-0.078998670,9.792121887
1784245541.219057,-0.007729031,0.010012223,-0.531521082,0.000545451,0.000866967,0.000013522,-0.101258218,-0.071577467,9.794425011
1784245541.221097,-0.007728028,0.010006409,-0.531528950,0.000618219,0.000151851,-0.000400263,-0.091764219,-0.064651638,9.811514854
1784245541.223076,-0.007726468,0.010005031,-0.531526923,0.000598673,-0.000386431,-0.000683861,-0.101774402,-0.077372953,9.791248322
1784245541.225115,-0.007730145,0.010003261,-0.531525254,0.000260368,-0.000509066,-0.000239608,-0.085902326,-0.064094007,9.785521507
1784245541.227055,-0.007729821,0.010003040,-0.531525373,-0.000038999,-0.000506952,-0.000059963,-0.069665551,-0.056752410,9.794999123
1784245541.229063,-0.007724272,0.010001048,-0.531525731,0.000268538,-0.000420200,-0.000072198,-0.069889270,-0.075944781,9.785013199
1784245541.231050,-0.007725533,0.009999522,-0.531522036,0.000382517,-0.000447360,0.000170936,-0.096654475,-0.060582191,9.815123558
1784245541.233079,-0.007728127,0.010001264,-0.531523228,-0.000020317,-0.000263584,0.000294263,-0.096516728,-0.050984226,9.788284302
1784245541.235059,-0.007729706,0.009996820,-0.531522214,-0.000333567,-0.000326377,0.000202461,-0.085457928,-0.062918022,9.808393478
1784245541.237082,-0.007727239,0.009999485,-0.531524658,-0.000181688,-0.000357665,0.000046009,-0.114877053,-0.082782075,9.819446564
1784245541.239076,-0.007726057,0.010000059,-0.531526387,0.000167538,-0.000093937,-0.000246508,-0.121009275,-0.072604790,9.785432816
1784245541.241086,-0.007723616,0.009998486,-0.531526506,0.000418435,-0.000190760,-0.000298752,-0.102561496,-0.067169629,9.807004929
1784245541.243072,-0.007718650,0.010000664,-0.531527698,0.000765009,-0.000155286,-0.000299857,-0.125091150,-0.074923210,9.803795815
1784245541.245061,-0.007717515,0.010003081,-0.531529844,0.000930359,0.000142370,-0.000443700,-0.093071885,-0.061088867,9.816916466
1784245541.247053,-0.007717736,0.010007624,-0.531538367,0.000747022,0.000581574,-0.001053183,-0.091348499,-0.068565041,9.794005394
1784245541.249051,-0.007715730,0.010009673,-0.531538486,0.000577347,0.000937031,-0.001352630,-0.112593591,-0.080469266,9.805116653
1784245541.251092,-0.007713334,0.010006239,-0.531541467,0.000627774,0.000651801,-0.001194441,-0.074663408,-0.061232373,9.803932190
1784245541.253063,-0.007712655,0.010002465,-0.531546354,0.000552722,0.000069228,-0.001406400,-0.069926783,-0.078267254,9.796653748
1784245541.255066,-0.007716556,0.010007059,-0.531548262,0.000069819,0.000188980,-0.001486252,-0.073504433,-0.076505743,9.807421684
1784245541.257044,-0.007709758,0.010010486,-0.531543076,0.000245164,0.000680311,-0.000855366,-0.117297031,-0.059930179,9.823626518
1784245541.259038,-0.007704118,0.010012547,-0.531547189,0.000913094,0.000799311,-0.000540659,-0.120185874,-0.077658325,9.801541328
1784245541.261098,-0.007702217,0.010013097,-0.531550884,0.001073579,0.000695290,-0.000926740,-0.102968045,-0.102799848,9.777633667
1784245541.263048,-0.007701661,0.010009521,-0.531549215,0.001096018,0.000330108,-0.000812619,-0.084893130,-0.092707627,9.775026321
1784245541.265032,-0.007697916,0.010011105,-0.531557262,0.001240394,0.000136464,-0.001017706,-0.081500463,-0.070902713,9.789964676
1784245541.267058,-0.007701639,0.010008531,-0.531560779,0.000912925,0.000038272,-0.001528594,-0.068837076,-0.062171236,9.799447060
1784245541.269040,-0.007699804,0.010007094,-0.531561792,0.000491232,-0.000142269,-0.001414270,-0.089247443,-0.042260077,9.808523178
1784245541.271037,-0.007691191,0.010011549,-0.531564295,0.001020772,0.000202723,-0.001254794,-0.075100616,-0.061541043,9.785099030
1784245541.273124,-0.007692956,0.010010817,-0.531563699,0.001189563,0.000473830,-0.001048593,-0.095641099,-0.091594242,9.763814926
1784245541.275142,-0.007696845,0.010014087,-0.531562209,0.000461171,0.000588852,-0.000629413,-0.102164298,-0.071229294,9.810118675
1784245541.277062,-0.007699679,0.010015760,-0.531559944,-0.000123023,0.000762443,-0.000197267,-0.099474229,-0.110086344,9.787902832
1784245541.279052,-0.007702991,0.010018877,-0.531565011,-0.000348646,0.000889513,-0.000333427,-0.086903602,-0.074223451,9.762589455
1784245541.281086,-0.007705133,0.010021043,-0.531577587,-0.000455950,0.001023664,-0.001443198,-0.076038465,-0.065090969,9.781936646
1784245541.283054,-0.007702098,0.010021048,-0.531576633,-0.000302036,0.000936351,-0.001837124,-0.083895721,-0.085040197,9.766110420
1784245541.285048,-0.007696929,0.010022633,-0.531572640,0.000295148,0.000824653,-0.001004381,-0.110812619,-0.081817061,9.802419662
1784245541.287045,-0.007693143,0.010026340,-0.531578302,0.000824013,0.000961029,-0.000847669,-0.115199625,-0.074080639,9.793498039
1784245541.289044,-0.007698054,0.010033353,-0.531572938,0.000543641,0.001390986,-0.000642462,-0.102197058,-0.075540379,9.786328316
1784245541.291050,-0.007700575,0.010038472,-0.531569242,-0.000095056,0.001795013,0.000138657,-0.094745018,-0.089995131,9.789381027
1784245541.293051,-0.007698248,0.010037808,-0.531568229,-0.000058882,0.001581728,0.000416834,-0.090747990,-0.055214629,9.805747986
1784245541.295079,-0.007700047,0.010036815,-0.531565964,0.000017441,0.001012386,0.000526997,-0.106159575,-0.067190409,9.816415787
1784245541.297067,-0.007705498,0.010043022,-0.531563997,-0.000482327,0.001089149,0.000681313,-0.083968788,-0.088859171,9.799263000
1784245541.299057,-0.007704057,0.010047267,-0.531559169,-0.000643438,0.001555867,0.000958809,-0.095287390,-0.095997296,9.815345764
1784245541.301102,-0.007702388,0.010050207,-0.531561852,-0.000274221,0.001676622,0.000835580,-0.093636587,-0.070509374,9.819545746
1784245541.303079,-0.007701208,0.010051375,-0.531563222,-0.000006786,0.001533163,0.000329326,-0.098049521,-0.067029990,9.779213905
1784245541.305083,-0.007708299,0.010051506,-0.531557977,-0.000412027,0.001233813,0.000500040,-0.112717308,-0.054392740,9.792731285
1784245541.307071,-0.007715211,0.010048177,-0.531559169,-0.001253368,0.000679533,0.000639714,-0.106597230,-0.066692188,9.810143471
1784245541.309063,-0.007719756,0.010046674,-0.531556249,-0.001704536,0.000149003,0.000578551,-0.103426389,-0.065280445,9.794911385
1784245541.311056,-0.007728431,0.010049203,-0.531552553,-0.002156255,0.000157835,0.000860933,-0.106031552,-0.056858692,9.812447548
1784245541.313053,-0.007731682,0.010048303,-0.531556785,-0.002447607,0.000202849,0.000579521,-0.091672741,-0.059066258,9.781961441
