time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783635086.197819,-0.135757580,0.576590955,-0.149003670,-0.000878641,-0.000218469,-0.000178111,-5.280314922,-1.280587554,8.117494583
1783635086.199779,-0.135757580,0.576590955,-0.149003670,-0.001118068,0.000413592,-0.000502274,-5.282290936,-1.331339359,8.138237953
1783635086.201674,-0.135757402,0.576591313,-0.149003640,-0.000664241,0.000523181,-0.000396395,-5.265537262,-1.320219517,8.119494438
1783635086.203619,-0.135757402,0.576591313,-0.149003640,0.000243064,0.000469584,-0.000120521,-5.274406433,-1.273984313,8.123370171
1783635086.205606,-0.135755375,0.576591015,-0.149003640,0.000322889,0.000220152,0.000186666,-5.265493393,-1.315009475,8.142842293
1783635086.207610,-0.135755375,0.576591015,-0.149003640,-0.000145685,-0.000207092,0.000281882,-5.264334679,-1.369896293,8.109313965
1783635086.209617,-0.135755375,0.576591015,-0.149003640,-0.000017794,-0.000735510,-0.000281033,-5.268793583,-1.367195487,8.115603447
1783635086.211615,-0.135758400,0.576591313,-0.149003640,0.000150460,-0.000834166,-0.000544982,-5.267175674,-1.307208776,8.120025635
1783635086.213619,-0.135758400,0.576591313,-0.149003640,-0.000030182,-0.000419665,-0.000265692,-5.282782078,-1.297317863,8.143386841
1783635086.215643,-0.135757715,0.576590717,-0.149003714,0.000054677,-0.000208818,-0.000260965,-5.271140099,-1.337274909,8.133727074
1783635086.217609,-0.135757715,0.576590717,-0.149003714,-0.000174048,-0.000282866,-0.000782754,-5.289577484,-1.341006994,8.124718666
1783635086.219687,-0.135757715,0.576590717,-0.149003714,-0.000736728,-0.000188213,-0.001216829,-5.308372974,-1.335908175,8.134596825
1783635086.221600,-0.135759413,0.576591551,-0.149003640,-0.000763636,0.000235157,-0.001295792,-5.284342289,-1.315606356,8.134749413
1783635086.223617,-0.135759413,0.576591551,-0.149003640,-0.000458979,0.000432086,-0.001353422,-5.303939342,-1.303255439,8.134362221
1783635086.225590,-0.135757864,0.576592445,-0.149003521,-0.000353338,0.000014289,-0.000658591,-5.275614738,-1.299122095,8.132173538
1783635086.227618,-0.135757864,0.576592445,-0.149003521,-0.000567602,-0.000326915,0.000496783,-5.300121307,-1.288127542,8.079318047
1783635086.229608,-0.135757864,0.576592445,-0.149003521,-0.001028005,-0.000354436,0.001050380,-5.259350300,-1.328344464,8.116760254
1783635086.231609,-0.135758445,0.576592207,-0.149003521,-0.001415731,-0.000404053,0.000496675,-5.282005787,-1.346416831,8.115725517
1783635086.233600,-0.135758445,0.576592207,-0.149003521,-0.001571043,-0.000492578,-0.000394181,-5.274734497,-1.336047053,8.156597137
1783635086.235604,-0.135758817,0.576589942,-0.149003893,-0.001306625,-0.000584010,-0.000248432,-5.278817654,-1.302405238,8.158601761
1783635086.237627,-0.135758817,0.576589942,-0.149003893,-0.000735073,-0.000621583,0.000327856,-5.274612904,-1.291823149,8.112046242
1783635086.239694,-0.135758817,0.576589942,-0.149003893,-0.000587118,-0.000463966,0.000405296,-5.278129101,-1.284714699,8.126883507
1783635086.241618,-0.135756031,0.576589644,-0.149003878,-0.000761495,0.000267089,0.000266127,-5.292099953,-1.326660156,8.127946854
1783635086.243669,-0.135756031,0.576589644,-0.149003878,-0.000831734,0.001050588,0.000238439,-5.274769783,-1.305223823,8.106580734
1783635086.245627,-0.135754377,0.576589465,-0.149003848,-0.000873247,0.000812177,0.000069361,-5.290452480,-1.340010762,8.112171173
1783635086.247617,-0.135754377,0.576589465,-0.149003848,-0.000854340,0.000152431,-0.000128646,-5.281984806,-1.304607868,8.159032822
1783635086.249624,-0.135754377,0.576589465,-0.149003848,-0.000706494,0.000407117,-0.000070012,-5.298928261,-1.295840144,8.153693199
1783635086.251633,-0.135751724,0.576590002,-0.149003729,-0.000414530,0.000914542,-0.000007159,-5.283633232,-1.330883741,8.139584541
1783635086.253657,-0.135751724,0.576590002,-0.149003729,-0.000244862,0.000654577,0.000053104,-5.249647617,-1.341147304,8.135516167
1783635086.255673,-0.135752663,0.576588035,-0.149004042,-0.000611634,0.000272269,0.000131255,-5.276310921,-1.356899619,8.130457878
1783635086.257636,-0.135752663,0.576588035,-0.149004042,-0.000911927,0.000194433,-0.000189837,-5.276774883,-1.284264922,8.124197006
1783635086.259735,-0.135752663,0.576588035,-0.149004042,-0.000770768,0.000007080,-0.000297541,-5.286177635,-1.281148314,8.143936157
1783635086.261659,-0.135750204,0.576588094,-0.149003997,-0.000581068,-0.000401879,-0.000124656,-5.282711506,-1.293514609,8.112476349
1783635086.263635,-0.135750204,0.576588094,-0.149003997,-0.000692797,-0.000566463,-0.000756541,-5.282852173,-1.342345119,8.111714363
1783635086.265633,-0.135751173,0.576589108,-0.149003863,-0.000675996,0.000032549,-0.001212702,-5.273092270,-1.352269530,8.103590012
1783635086.267631,-0.135751173,0.576589108,-0.149003863,-0.000190166,0.000840361,-0.001307516,-5.273847580,-1.340194821,8.108151436
1783635086.269635,-0.135751173,0.576589108,-0.149003863,0.000125195,0.001160599,-0.001594763,-5.257957458,-1.323535562,8.131136894
1783635086.271645,-0.135751098,0.576587737,-0.149004057,-0.000175655,0.000998535,-0.000976683,-5.288525105,-1.327633739,8.132427216
1783635086.273640,-0.135751098,0.576587737,-0.149004057,-0.000613617,0.000860628,0.000159093,-5.307730198,-1.319796681,8.136046410
1783635086.275647,-0.135751322,0.576588213,-0.149003997,-0.000677606,0.000832399,0.000499902,-5.290586472,-1.349983454,8.128694534
