time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783619246.519053,0.010382078,-0.087158412,-0.699422956,-0.000724169,-0.000878133,-0.000649664,0.850518048,0.108041756,9.788420677
1783619246.521068,0.010382106,-0.087158598,-0.699422956,-0.000407754,-0.001151256,-0.001033610,0.869816661,0.105802752,9.753454208
1783619246.523025,0.010381877,-0.087158635,-0.699422956,0.000135210,-0.000815498,-0.001002955,0.855762720,0.094711997,9.763233185
1783619246.525138,0.010381877,-0.087158635,-0.699422956,0.000149440,-0.000676003,-0.000783244,0.843692839,0.099680334,9.779394150
1783619246.527037,0.010381877,-0.087158635,-0.699422956,0.000285082,-0.000666503,-0.000497139,0.851488769,0.076692678,9.784632683
1783619246.529077,0.010381117,-0.087158002,-0.699423015,0.000637637,-0.000678215,-0.000631399,0.864378631,0.099775158,9.728752136
1783619246.531041,0.010381117,-0.087158002,-0.699423015,0.000510343,-0.001149035,-0.000985117,0.895674407,0.092398934,9.764601707
1783619246.533043,0.010380946,-0.087159365,-0.699422956,-0.000105588,-0.001291047,-0.000809266,0.861223578,0.101324268,9.768660545
1783619246.535063,0.010380946,-0.087159365,-0.699422956,-0.000567298,-0.000891379,-0.000515911,0.832566023,0.069839895,9.774259567
1783619246.537009,0.010380946,-0.087159365,-0.699422956,-0.000851146,-0.000710226,-0.000068061,0.850848973,0.097380333,9.774903297
1783619246.538982,0.010380879,-0.087158673,-0.699422956,-0.000554414,-0.000783116,0.000492526,0.860299885,0.098292261,9.755639076
1783619246.541026,0.010380879,-0.087158673,-0.699422956,0.000139010,-0.000297955,0.000345058,0.844202161,0.102584936,9.748029709
1783619246.542989,0.010380903,-0.087158099,-0.699422956,0.000179191,0.000441022,-0.000176153,0.859884739,0.101805381,9.766421318
1783619246.545074,0.010380903,-0.087158099,-0.699422956,-0.000270399,0.000367016,0.000342568,0.847109020,0.084486328,9.767642021
1783619246.547007,0.010380903,-0.087158099,-0.699422956,-0.000550074,-0.000211271,0.001024486,0.854358912,0.091031089,9.779347420
1783619246.548994,0.010380750,-0.087158911,-0.699422956,-0.000263957,-0.000650958,0.000727653,0.852413952,0.076090492,9.741590500
1783619246.550983,0.010380750,-0.087158911,-0.699422956,0.000255226,-0.000668409,0.000477490,0.849280357,0.078214757,9.763568878
1783619246.552980,0.010380218,-0.087158978,-0.699422956,0.000437236,-0.000409682,0.000404761,0.843667746,0.096646354,9.765027046
