time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783618051.422328,-0.010885772,0.041106023,-0.036381327,-0.000251224,0.000359094,-0.001701546,-0.402919412,-0.115677007,9.797439575
1783618051.424307,-0.010886227,0.041106269,-0.036381323,-0.000314397,-0.000352271,-0.001393711,-0.393073291,-0.116813898,9.813581467
1783618051.426312,-0.010886227,0.041106269,-0.036381323,-0.000163391,-0.000894823,-0.000483310,-0.407105207,-0.089736342,9.811500549
1783618051.428306,-0.010886227,0.041106269,-0.036381323,-0.000046368,-0.000607168,0.000346190,-0.396384686,-0.095929556,9.780983925
1783618051.430321,-0.010885742,0.041106436,-0.036381323,0.000625008,0.000070464,-0.000092994,-0.393072486,-0.119644374,9.770524025
1783618051.432304,-0.010885742,0.041106436,-0.036381323,0.001166061,0.000400231,-0.000197143,-0.406299144,-0.099790215,9.774673462
1783618051.434390,-0.010885097,0.041107241,-0.036381312,0.000632706,0.000251493,0.000210743,-0.389207989,-0.096447259,9.777849197
1783618051.436282,-0.010885097,0.041107241,-0.036381312,-0.000550223,0.000242033,0.000453017,-0.392251968,-0.123910092,9.801878929
1783618051.438250,-0.010885097,0.041107241,-0.036381312,-0.000648744,0.000586895,0.000632684,-0.382260829,-0.114581682,9.795225143
1783618051.440243,-0.010885706,0.041106414,-0.036381323,0.000094592,0.000955772,0.000693312,-0.395513803,-0.096960984,9.798462868
1783618051.442238,-0.010885706,0.041106414,-0.036381323,0.000309508,0.001120021,0.000736378,-0.394971400,-0.090958819,9.772497177
1783618051.444411,-0.010884832,0.041105419,-0.036381330,0.000316651,0.000756525,0.000566253,-0.374691218,-0.119597472,9.793855667
1783618051.446350,-0.010884832,0.041105419,-0.036381330,-0.000099709,-0.000025931,0.000474867,-0.413978815,-0.103342943,9.784056664
1783618051.448298,-0.010884832,0.041105419,-0.036381330,-0.000614671,-0.000037567,0.000717950,-0.399994075,-0.096039370,9.802947998
1783618051.450295,-0.010884935,0.041105866,-0.036381323,-0.000566821,0.000615256,0.000917441,-0.401954323,-0.109480649,9.806447029
1783618051.452288,-0.010884935,0.041105866,-0.036381323,-0.000175789,0.000513118,0.000717131,-0.420016289,-0.120281182,9.782598495
1783618051.454379,-0.010885005,0.041106638,-0.036381312,0.000351224,-0.000571964,0.000584013,-0.416618466,-0.097624853,9.803818703
1783618051.456299,-0.010885005,0.041106638,-0.036381312,0.000390426,-0.001431822,0.000666622,-0.398750156,-0.106184840,9.778224945
1783618051.458294,-0.010885005,0.041106638,-0.036381312,0.000029775,-0.001332173,0.000423347,-0.393917441,-0.114355899,9.784453392
1783618051.460317,-0.010885457,0.041106761,-0.036381308,-0.000591098,-0.000949399,0.000193128,-0.410221994,-0.091532081,9.754547119
1783618051.462297,-0.010885457,0.041106761,-0.036381308,-0.001261345,-0.000775755,-0.000047724,-0.415656626,-0.094290778,9.774251938
1783618051.464294,-0.010884627,0.041107338,-0.036381301,-0.000977859,-0.001039547,0.000425735,-0.429200470,-0.100040354,9.788099289
1783618051.466295,-0.010884627,0.041107338,-0.036381301,-0.000539755,-0.001540531,0.000823448,-0.398749918,-0.107398354,9.759835243
1783618051.468293,-0.010884627,0.041107338,-0.036381301,-0.000572154,-0.001158533,0.000268345,-0.395554960,-0.136902049,9.807621002
1783618051.470294,-0.010885563,0.041106984,-0.036381308,-0.000622992,-0.000052106,-0.000113419,-0.375742823,-0.132961199,9.784800529
1783618051.472295,-0.010885563,0.041106984,-0.036381308,-0.000806744,0.000680180,0.000149381,-0.400702000,-0.119559340,9.772310257
1783618051.474389,-0.010886623,0.041107003,-0.036381308,-0.001087406,0.000999677,0.000267194,-0.402636111,-0.130767167,9.776719093
1783618051.476311,-0.010886623,0.041107003,-0.036381308,-0.000987569,0.000888822,0.000080813,-0.410167158,-0.120989181,9.801432610
1783618051.478305,-0.010886623,0.041107003,-0.036381308,-0.000430532,0.000460526,-0.000001976,-0.388854802,-0.102880262,9.799776077
1783618051.480304,-0.010886652,0.041106213,-0.036381312,0.000191435,0.000144194,0.000262966,-0.382542431,-0.099072173,9.819981575
1783618051.482310,-0.010886652,0.041106213,-0.036381312,0.000212769,0.000186400,0.000781738,-0.376746804,-0.104306236,9.789467812
1783618051.484313,-0.010886576,0.041105211,-0.036381323,-0.000056062,0.000652747,0.001071375,-0.412192166,-0.102619447,9.805135727
1783618051.486312,-0.010886576,0.041105211,-0.036381323,-0.000163045,0.000865080,0.001354010,-0.373598665,-0.103479177,9.793509483
1783618051.488326,-0.010886576,0.041105211,-0.036381323,-0.000447604,0.000197127,0.001049545,-0.403476685,-0.087043688,9.804347038
1783618051.490321,-0.010885784,0.041105479,-0.036381323,-0.000529621,-0.000556603,0.000140488,-0.388896346,-0.108071372,9.773739815
1783618051.492325,-0.010885784,0.041105479,-0.036381323,-0.000008515,-0.000843512,-0.000266642,-0.387227982,-0.117603309,9.788026810
1783618051.494398,-0.010885846,0.041105054,-0.036381323,0.000099739,-0.000945032,-0.000003458,-0.410847992,-0.103462666,9.795269012
1783618051.496334,-0.010885846,0.041105054,-0.036381323,-0.000326970,-0.000976875,0.000079389,-0.403476179,-0.088660657,9.779677391
1783618051.498323,-0.010885846,0.041105054,-0.036381323,-0.000563920,-0.001014331,-0.000600344,-0.403134286,-0.096399389,9.796217918
1783618051.500327,-0.010885210,0.041104503,-0.036381334,-0.000990533,-0.001163655,-0.001295176,-0.394414634,-0.117975168,9.790259361
1783618051.502326,-0.010885210,0.041104503,-0.036381334,-0.001196331,-0.001474990,-0.001242709,-0.398334354,-0.108071476,9.790767670
1783618051.504329,-0.010885624,0.041104022,-0.036381338,-0.001000538,-0.001419860,-0.000823279,-0.409842432,-0.094514944,9.795327187
1783618051.506332,-0.010885624,0.041104022,-0.036381338,-0.001089190,-0.001000107,-0.000371568,-0.411678106,-0.100893408,9.750451088
1783618051.508338,-0.010885624,0.041104022,-0.036381338,-0.000918329,-0.000643305,0.000030365,-0.397705793,-0.092878334,9.795350075
1783618051.510343,-0.010885017,0.041104216,-0.036381338,-0.000397195,-0.000530431,0.000124410,-0.408568084,-0.101988554,9.772864342
1783618051.512348,-0.010885017,0.041104216,-0.036381338,-0.000165243,-0.000751934,0.000082684,-0.427305013,-0.092784688,9.772455215
1783618051.514431,-0.010884231,0.041105490,-0.036381323,0.000060331,-0.000715361,-0.000036780,-0.425092459,-0.093868345,9.794869423
1783618051.516356,-0.010884231,0.041105490,-0.036381323,0.000606600,-0.000459511,-0.000013614,-0.401188970,-0.122692503,9.772738457
1783618051.518377,-0.010884231,0.041105490,-0.036381323,0.001308301,-0.000495602,0.000526008,-0.417628586,-0.107824251,9.790749550
1783618051.520359,-0.010884123,0.041106403,-0.036381315,0.001422170,-0.000446498,0.001063321,-0.376060367,-0.086225025,9.765823364
1783618051.522358,-0.010884123,0.041106403,-0.036381315,0.000697557,-0.000019165,0.000661366,-0.373641521,-0.107059695,9.793038368
1783618051.524399,-0.010883946,0.041105181,-0.036381327,-0.000042888,0.000515626,-0.000478982,-0.396173149,-0.115639247,9.779961586
1783618051.526362,-0.010883946,0.041105181,-0.036381327,-0.000335295,0.000466919,-0.000716053,-0.418439865,-0.100648552,9.791243553
1783618051.528369,-0.010883946,0.041105181,-0.036381327,-0.000300032,0.000083897,-0.000420951,-0.427430212,-0.101067379,9.803337097
1783618051.530364,-0.010883447,0.041106734,-0.036381312,-0.000396804,0.000114170,-0.000529377,-0.401877940,-0.104419529,9.787648201
1783618051.532368,-0.010883447,0.041106734,-0.036381312,-0.000740071,-0.000022386,-0.000681888,-0.369142056,-0.107018605,9.779145241
1783618051.534453,-0.010882787,0.041105535,-0.036381327,-0.000780617,-0.000720644,-0.000380802,-0.412548631,-0.095401809,9.798905373
1783618051.536378,-0.010882787,0.041105535,-0.036381327,-0.000175235,-0.001003171,0.000003271,-0.414686739,-0.124836154,9.783470154
1783618051.538374,-0.010882787,0.041105535,-0.036381327,0.000469357,-0.000936659,-0.000455220,-0.401974142,-0.111663215,9.798362732
1783618051.540371,-0.010883414,0.041104767,-0.036381334,0.000321793,-0.001220326,-0.001315559,-0.391207874,-0.112226896,9.795231819
1783618051.542369,-0.010883414,0.041104767,-0.036381334,-0.000328717,-0.001370220,-0.001437403,-0.402848542,-0.109443694,9.802858353
1783618051.544370,-0.010884143,0.041104548,-0.036381338,-0.000673781,-0.001107472,-0.000765712,-0.413594186,-0.109527923,9.771016121
1783618051.546374,-0.010884143,0.041104548,-0.036381338,-0.000399664,-0.000831179,-0.000365343,-0.408781707,-0.119074672,9.781720161
1783618051.548376,-0.010884143,0.041104548,-0.036381338,0.000105926,-0.000864424,-0.000525794,-0.402251720,-0.098148681,9.788585663
1783618051.550381,-0.010884074,0.041103851,-0.036381345,0.000186101,-0.000777651,-0.000624469,-0.411713064,-0.101170033,9.789453506
