time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783618485.051390,-0.015548116,-0.003235041,-0.458079517,0.001245961,0.001096061,-0.000318799,0.034866285,-0.170175821,9.805130959
1783618485.053368,-0.015548116,-0.003235041,-0.458079517,0.000954756,0.001239716,-0.000170954,0.058457393,-0.148575559,9.812467575
1783618485.055315,-0.015548116,-0.003235041,-0.458079517,0.001373203,0.001209470,0.000279984,0.082352653,-0.177869961,9.793470383
1783618485.057367,-0.015550883,-0.003237699,-0.458079547,0.001547301,0.000740635,0.000316962,0.036547344,-0.142422661,9.805759430
1783618485.059266,-0.015550883,-0.003237699,-0.458079547,0.001436761,0.000150661,0.000179672,0.019297613,-0.159985930,9.786352158
1783618485.061266,-0.015551142,-0.003236983,-0.458079547,0.001431647,0.000025491,0.000171734,0.010677041,-0.166707382,9.801993370
1783618485.063281,-0.015551142,-0.003236983,-0.458079547,0.001361127,0.000491673,0.000385572,0.020940235,-0.135778293,9.781577110
1783618485.065274,-0.015551142,-0.003236983,-0.458079547,0.001185580,0.001048722,0.000524313,0.032671105,-0.166928679,9.793493271
1783618485.067259,-0.015552390,-0.003236624,-0.458079547,0.000712784,0.001227134,0.000154223,0.018262515,-0.170382425,9.801079750
1783618485.069258,-0.015552390,-0.003236624,-0.458079547,-0.000045691,0.001506117,-0.000205471,0.023597749,-0.138112992,9.790082932
1783618485.071260,-0.015550843,-0.003237324,-0.458079547,-0.000274107,0.001702537,0.000074527,0.054562412,-0.138071269,9.791458130
1783618485.073312,-0.015550843,-0.003237324,-0.458079547,-0.000064737,0.001446589,0.000114411,0.046855923,-0.144267246,9.794548988
1783618485.075273,-0.015550843,-0.003237324,-0.458079547,0.000049225,0.000991890,-0.000074712,0.011758927,-0.151078388,9.807473183
1783618485.077390,-0.015551029,-0.003236534,-0.458079547,0.000021362,0.000568193,0.000382532,0.006327605,-0.154621705,9.811479568
1783618485.079275,-0.015551029,-0.003236534,-0.458079547,-0.000249511,0.000426222,0.000391228,-0.009791567,-0.155361146,9.755418777
1783618485.081256,-0.015551419,-0.003234638,-0.458079547,-0.000867080,-0.000138990,0.000123545,0.026613628,-0.148056075,9.796747208
1783618485.083253,-0.015551419,-0.003234638,-0.458079547,-0.001155127,-0.000589701,0.000127150,0.051048785,-0.170557320,9.766588211
1783618485.085254,-0.015551419,-0.003234638,-0.458079547,-0.000854263,-0.000474563,0.000295526,0.079906836,-0.157248318,9.796291351
1783618485.087255,-0.015552670,-0.003236585,-0.458079547,-0.000528085,-0.000465608,0.000706767,0.045028787,-0.145715311,9.812471390
1783618485.089258,-0.015552670,-0.003236585,-0.458079547,-0.000381036,-0.000563557,0.000590434,0.027394963,-0.159520611,9.769326210
1783618485.091268,-0.015552894,-0.003236432,-0.458079547,-0.000148569,-0.000779372,0.000360667,0.018753106,-0.167220682,9.796616554
1783618485.093269,-0.015552894,-0.003236432,-0.458079547,0.000385703,-0.000616983,0.000267852,0.010094793,-0.141108036,9.794533730
1783618485.095272,-0.015552894,-0.003236432,-0.458079547,0.000490692,-0.000045197,0.000130104,0.028740505,-0.157110810,9.806105614
1783618485.097341,-0.015553999,-0.003236252,-0.458079547,0.000278099,0.000427462,0.000192077,0.028525194,-0.137836397,9.805332184
1783618485.099272,-0.015553999,-0.003236252,-0.458079547,0.000501443,0.000606493,0.000110540,0.038485311,-0.132399738,9.778925896
1783618485.101282,-0.015553189,-0.003236457,-0.458079547,0.000822510,0.000251553,-0.000330399,0.032383706,-0.151060224,9.830806732
1783618485.103303,-0.015553189,-0.003236457,-0.458079547,0.000855430,-0.000202730,-0.000671080,0.008860099,-0.129269302,9.833166122
1783618485.105296,-0.015553189,-0.003236457,-0.458079547,0.000504989,-0.000061211,-0.000989433,0.001157642,-0.135433465,9.831773758
1783618485.107303,-0.015552321,-0.003235174,-0.458079547,0.000019753,0.000599904,-0.000821465,0.015633717,-0.163768440,9.820845604
