time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783618806.217896,0.004255031,0.049897298,0.833244622,-0.001314246,0.000604779,-0.001429699,-0.487118006,0.047137629,9.798851013
1783618806.219871,0.004255031,0.049897298,0.833244622,-0.001816061,0.000650397,-0.001463289,-0.492035955,0.048557468,9.797061920
1783618806.221889,0.004255667,0.049897585,0.833244622,-0.001642132,0.000512941,-0.001018505,-0.488948703,0.044850867,9.808696747
1783618806.223984,0.004255667,0.049897585,0.833244622,-0.000969319,0.000696454,-0.000944762,-0.514457405,0.049763110,9.793910027
1783618806.225864,0.004255667,0.049897585,0.833244622,-0.000531104,0.001099140,-0.000636900,-0.494432330,0.034410439,9.774552345
1783618806.227852,0.004255695,0.049898129,0.833244622,-0.000285092,0.001180945,-0.001009630,-0.488461077,0.008373649,9.770804405
1783618806.229846,0.004255695,0.049898129,0.833244622,-0.000488915,0.000746004,-0.002151011,-0.474358261,0.023092603,9.754772186
1783618806.231839,0.004255066,0.049897406,0.833244622,-0.001036901,0.000376475,-0.002496024,-0.499373555,0.035645861,9.798766136
1783618806.233832,0.004255066,0.049897406,0.833244622,-0.001255900,0.000261350,-0.001771420,-0.485685170,0.051857539,9.762567520
1783618806.235833,0.004255066,0.049897406,0.833244622,-0.001398101,0.000315423,-0.000286012,-0.461290568,0.030251872,9.795628548
1783618806.237864,0.004254559,0.049895890,0.833244622,-0.001700912,0.000321074,0.000777537,-0.497247368,0.061744519,9.779208183
1783618806.239844,0.004254559,0.049895890,0.833244622,-0.001524081,0.000092561,0.000631013,-0.494825870,0.037688639,9.755294800
1783618806.241928,0.004254501,0.049896080,0.833244622,-0.000617220,-0.000133196,0.000019728,-0.508620977,0.048903741,9.778217316
1783618806.243976,0.004254501,0.049896080,0.833244622,0.000024429,-0.000369782,-0.000371864,-0.493581712,0.066756465,9.760862350
1783618806.245857,0.004254501,0.049896080,0.833244622,-0.000014878,-0.000502994,-0.000278633,-0.486341625,0.071198136,9.753275871
1783618806.247864,0.004255509,0.049895946,0.833244622,-0.000239420,-0.000257823,0.000097760,-0.497141242,0.033907942,9.787100792
1783618806.249857,0.004255509,0.049895946,0.833244622,-0.000689363,0.000176302,0.000300720,-0.504452348,0.020396123,9.747104645
1783618806.251830,0.004254431,0.049896579,0.833244622,-0.000709878,0.000419018,0.000159824,-0.491497129,0.016941050,9.768614769
1783618806.253827,0.004254431,0.049896579,0.833244622,-0.000217781,0.000697477,0.000202969,-0.504275739,0.037189718,9.779493332
1783618806.255829,0.004254431,0.049896579,0.833244622,-0.000364150,0.001066772,0.000396991,-0.496858656,0.057618085,9.791734695
1783618806.257823,0.004254906,0.049896814,0.833244622,-0.000975264,0.001415671,0.000140838,-0.491863012,0.063295662,9.803432465
1783618806.259827,0.004254906,0.049896814,0.833244622,-0.001022125,0.001719543,-0.000044857,-0.504655004,0.081412636,9.799053192
1783618806.261822,0.004256256,0.049897198,0.833244622,-0.000679154,0.001790305,0.000234818,-0.502399206,0.047132783,9.827081680
1783618806.263956,0.004256256,0.049897198,0.833244622,-0.000143564,0.001497231,0.000364885,-0.488040417,0.044115141,9.784483910
1783618806.265832,0.004256256,0.049897198,0.833244622,0.000368462,0.000902883,0.000710434,-0.480448395,0.041707650,9.794340134
1783618806.267836,0.004256135,0.049897201,0.833244622,0.000258589,0.000926090,0.000801471,-0.483646572,0.036432784,9.785783768
1783618806.269825,0.004256135,0.049897201,0.833244622,-0.000230516,0.001454705,0.000328438,-0.481442273,0.070442103,9.787796974
1783618806.271830,0.004257494,0.049896557,0.833244622,0.000257600,0.001309599,-0.000162189,-0.466767132,0.059888858,9.796262741
1783618806.273832,0.004257494,0.049896557,0.833244622,0.001493527,0.000760203,-0.000159643,-0.477249324,0.046178814,9.789887428
1783618806.275831,0.004257494,0.049896557,0.833244622,0.001455340,0.000636651,0.000401869,-0.482637197,0.009035849,9.793231010
1783618806.277837,0.004255984,0.049896371,0.833244741,0.000325009,0.000471857,0.000267201,-0.482720166,0.037460282,9.765617371
1783618806.279842,0.004255984,0.049896371,0.833244741,-0.000701777,-0.000199991,-0.000484165,-0.494539887,0.061830848,9.762175560
1783618806.281855,0.004256838,0.049896777,0.833244622,-0.001139463,-0.000457676,-0.001210262,-0.497816831,0.051475778,9.775106430
1783618806.283922,0.004256838,0.049896777,0.833244622,-0.000837919,-0.000094995,-0.001590749,-0.485251784,0.087700784,9.761900902
