time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783636923.096761,0.018388381,-0.051943053,0.232055306,0.001118366,-0.000566747,-0.000244342,0.510617912,0.130721569,9.794516563
1783636923.098701,0.018384971,-0.051943094,0.232055292,0.001088683,0.000061672,-0.000530180,0.482908934,0.177646279,9.798377037
1783636923.100689,0.018384971,-0.051943094,0.232055292,0.000846746,0.000355755,-0.000071755,0.525309622,0.196695328,9.815575600
1783636923.102679,0.018386111,-0.051944401,0.232055306,-0.000204460,0.000036130,0.000799392,0.507900655,0.165312052,9.786665916
1783636923.104678,0.018386111,-0.051944401,0.232055306,-0.001346950,0.000042444,0.001254230,0.499666870,0.189201385,9.781430244
1783636923.106673,0.018386111,-0.051944401,0.232055306,-0.000961900,0.000399325,0.000704932,0.504080653,0.183298141,9.784535408
1783636923.108658,0.018386707,-0.051943965,0.232055336,0.000168138,0.000632149,0.000305974,0.535822988,0.173466846,9.786745071
1783636923.110671,0.018386707,-0.051943965,0.232055336,0.000885805,0.001142891,0.000342002,0.519811571,0.149767160,9.808994293
1783636923.112707,0.018385395,-0.051944904,0.232055336,0.001316617,0.001406850,0.000548017,0.504277408,0.201060787,9.806616783
1783636923.114608,0.018385395,-0.051944904,0.232055336,0.001224524,0.000917556,0.001018588,0.485344648,0.192508355,9.783231735
1783636923.116602,0.018385395,-0.051944904,0.232055336,0.000847145,0.000171906,0.000799126,0.478666395,0.199491709,9.821377754
1783636923.118624,0.018386820,-0.051943209,0.232055306,0.000557314,-0.000188040,0.000134797,0.523516893,0.195924118,9.801223755
1783636923.120616,0.018386820,-0.051943209,0.232055306,0.000242875,0.000071617,-0.000147847,0.534554899,0.179368019,9.778263092
1783636923.122610,0.018386727,-0.051945295,0.232055336,0.000122457,0.000365051,0.000062196,0.524906218,0.159873858,9.764678955
1783636923.124605,0.018386727,-0.051945295,0.232055336,0.000229423,0.000303517,0.000737488,0.511925220,0.163935527,9.783970833
1783636923.126616,0.018386727,-0.051945295,0.232055336,0.000161326,0.000116713,0.001156200,0.525522172,0.177398607,9.819488525
1783636923.128609,0.018387174,-0.051946599,0.232055381,-0.000428427,0.000044656,0.000774758,0.497627527,0.205836460,9.777051926
1783636923.130603,0.018387174,-0.051946599,0.232055381,-0.000767421,0.000009295,0.000479069,0.528915405,0.195966437,9.785537720
1783636923.132735,0.018387370,-0.051947523,0.232055396,-0.000455650,-0.000096921,0.000661241,0.512315631,0.195791632,9.777002335
1783636923.134619,0.018387370,-0.051947523,0.232055396,-0.000713809,0.000013250,0.000415138,0.501362383,0.180289134,9.771512985
1783636923.136608,0.018387370,-0.051947523,0.232055396,-0.001024291,0.000402918,-0.000105600,0.504691303,0.196728036,9.785070419
1783636923.138607,0.018388221,-0.051947355,0.232055396,-0.000532174,0.000264064,-0.000323701,0.514402509,0.183178619,9.782751083
1783636923.140628,0.018388221,-0.051947355,0.232055396,-0.000088758,-0.000289534,-0.000232245,0.533699989,0.182956845,9.779181480
1783636923.142614,0.018388420,-0.051949169,0.232055426,0.000020843,-0.000278978,0.000233486,0.528549790,0.166737676,9.801041603
1783636923.144619,0.018388420,-0.051949169,0.232055426,0.000178638,0.000127284,0.000015505,0.507009149,0.164964601,9.774109840
1783636923.146624,0.018388420,-0.051949169,0.232055426,0.000998146,0.000256752,-0.000648551,0.497379571,0.184426561,9.763913155
1783636923.148622,0.018389152,-0.051948462,0.232055396,0.001895194,-0.000178350,-0.000448813,0.502323270,0.186047077,9.779171944
1783636923.150625,0.018389152,-0.051948462,0.232055396,0.001189809,-0.000715650,-0.000144227,0.505701840,0.169340655,9.791172028
1783636923.152719,0.018388472,-0.051948704,0.232055396,0.000066707,-0.000666526,-0.000245784,0.501664162,0.168992132,9.784441948
1783636923.154636,0.018388472,-0.051948704,0.232055396,0.000713787,-0.000574431,-0.000335178,0.525928557,0.173412099,9.812289238
1783636923.156630,0.018388472,-0.051948704,0.232055396,0.001292028,-0.000600150,-0.000129871,0.516351759,0.160564214,9.809059143
1783636923.158631,0.018387802,-0.051948987,0.232055426,0.000630654,-0.000374219,0.000181803,0.514502645,0.154484272,9.785257339
1783636923.160629,0.018387802,-0.051948987,0.232055426,0.000565976,-0.000175805,0.000030617,0.509231210,0.163550630,9.779930115
1783636923.162641,0.018386809,-0.051948305,0.232055396,0.001277215,-0.000094434,0.000083799,0.517049074,0.178731292,9.773309708
1783636923.164644,0.018386809,-0.051948305,0.232055396,0.001448629,-0.000214618,0.000644493,0.535917699,0.180697843,9.777825356
1783636923.166642,0.018386809,-0.051948305,0.232055396,0.001232466,-0.000152176,0.000674159,0.498293728,0.186978832,9.781414986
1783636923.168667,0.018387329,-0.051948149,0.232055396,0.001240636,0.000021505,0.000046882,0.472683102,0.183386177,9.765676498
1783636923.170650,0.018387329,-0.051948149,0.232055396,0.001151381,-0.000248254,-0.000195820,0.474133909,0.192706168,9.775601387
1783636923.172730,0.018388534,-0.051946521,0.232055381,0.001064921,-0.000645629,0.000131672,0.494376421,0.196901605,9.779233932
1783636923.174654,0.018388534,-0.051946521,0.232055381,0.000810690,-0.000318532,-0.000041814,0.534127831,0.181165606,9.778274536
1783636923.176650,0.018388534,-0.051946521,0.232055381,0.000360643,0.000446358,-0.000454513,0.535749555,0.166807845,9.778183937
1783636923.178645,0.018387921,-0.051948901,0.232055441,-0.000193372,0.000299946,-0.000091522,0.509311795,0.169860259,9.774590492
1783636923.180668,0.018387921,-0.051948901,0.232055441,-0.000802947,-0.000347679,0.000693075,0.519825459,0.185845077,9.776048660
1783636923.182659,0.018388851,-0.051950213,0.232055455,-0.000991024,-0.000552350,0.001284592,0.501628697,0.204275489,9.800359726
1783636923.184653,0.018388851,-0.051950213,0.232055455,-0.000693482,-0.000669474,0.001608063,0.513651729,0.158914968,9.793804169
1783636923.186656,0.018388851,-0.051950213,0.232055455,-0.000149215,-0.000683012,0.001303075,0.509906232,0.183162972,9.793058395
1783636923.188662,0.018389631,-0.051949985,0.232055455,0.000123521,-0.000561893,0.000485718,0.494539201,0.175997123,9.820346832
1783636923.190667,0.018389631,-0.051949985,0.232055455,0.000140437,-0.000561695,-0.000110498,0.497724295,0.178736851,9.807364464
1783636923.192751,0.018389368,-0.051949583,0.232055455,0.000295618,-0.000672635,-0.000292501,0.525524318,0.210547507,9.757383347
1783636923.194677,0.018389368,-0.051949583,0.232055455,0.000209423,-0.000734746,-0.000190628,0.504286528,0.199917212,9.778365135
1783636923.196670,0.018389368,-0.051949583,0.232055455,0.000327186,-0.000800049,-0.000098187,0.516754925,0.155335575,9.787507057
