time_sec,roll_rad,pitch_rad,yaw_rad,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1783635953.046098,-0.018245559,-0.067893535,0.568365932,0.001056337,-0.000104952,-0.000037940,0.642791927,-0.221344501,9.794178009
1783635953.047969,-0.018244348,-0.067895651,0.568364859,0.001667718,-0.000171238,-0.000117269,0.624625862,-0.203482494,9.772307396
1783635953.049933,-0.018252077,-0.067894027,0.568361521,0.000847204,-0.000276767,-0.000357907,0.670501113,-0.195519507,9.767022133
1783635953.051932,-0.018256631,-0.067890257,0.568359911,-0.000143945,0.000046691,-0.000549656,0.686714411,-0.152799129,9.778968811
1783635953.053943,-0.018255062,-0.067891851,0.568360150,-0.000468762,0.000276715,-0.000472122,0.681226015,-0.125687763,9.756720543
1783635953.055914,-0.018257193,-0.067892097,0.568357587,-0.000545423,0.000173015,-0.000489103,0.690792501,-0.150105879,9.770919800
1783635953.057896,-0.018256458,-0.067889377,0.568360388,-0.000491040,0.000293276,-0.000337741,0.690933049,-0.176048860,9.764476776
1783635953.059898,-0.018251790,-0.067890674,0.568364024,-0.000036164,0.000409971,0.000170486,0.649508297,-0.188005596,9.756289482
1783635953.061895,-0.018250026,-0.067893527,0.568366408,0.000363476,0.000116373,0.000520671,0.645193994,-0.209179729,9.780361176
1783635953.063966,-0.018252151,-0.067893170,0.568362534,0.000384440,-0.000109497,0.000269830,0.663994849,-0.214231133,9.763756752
1783635953.065944,-0.018251324,-0.067893974,0.568359494,0.000311743,-0.000126885,-0.000273260,0.668941021,-0.213401616,9.764216423
1783635953.067893,-0.018251507,-0.067891546,0.568360150,0.000259800,0.000020549,-0.000361122,0.655781388,-0.150159463,9.778506279
1783635953.069891,-0.018254461,-0.067890398,0.568364918,-0.000013789,0.000181172,0.000116348,0.682714283,-0.112425148,9.779223442
1783635953.071889,-0.018256059,-0.067892455,0.568365872,-0.000306893,-0.000007012,0.000498434,0.666818976,-0.128318727,9.774622917
1783635953.073886,-0.018255880,-0.067897290,0.568359077,-0.000467777,-0.000463785,-0.000019197,0.675015092,-0.156153858,9.767726898
1783635953.075890,-0.018259499,-0.067893602,0.568351686,-0.000760136,-0.000395237,-0.000953935,0.674956501,-0.195421562,9.808274269
1783635953.077923,-0.018264366,-0.067890413,0.568346858,-0.001184569,0.000196070,-0.001487786,0.663972795,-0.214406013,9.788414001
1783635953.079923,-0.018264502,-0.067893215,0.568354249,-0.001102890,0.000202546,-0.000885585,0.643405437,-0.209512487,9.767354965
1783635953.081898,-0.018263981,-0.067894235,0.568355501,-0.000649717,-0.000087402,-0.000050764,0.638841569,-0.178956091,9.763063431
1783635953.084007,-0.018261461,-0.067893326,0.568349957,-0.000279307,-0.000113535,-0.000344101,0.674763620,-0.179212525,9.734402657
1783635953.085915,-0.018264201,-0.067895934,0.568348110,-0.000245190,-0.000236808,-0.000757319,0.677088022,-0.170091644,9.770777702
1783635953.087909,-0.018269116,-0.067892350,0.568351626,-0.000689622,-0.000109546,-0.000408016,0.701316714,-0.171221718,9.760034561
1783635953.089905,-0.018264828,-0.067892641,0.568351328,-0.000576732,0.000248000,-0.000079175,0.695522070,-0.167601436,9.765431404
1783635953.091902,-0.018262533,-0.067892894,0.568350375,-0.000026377,0.000253424,-0.000165228,0.651388705,-0.178437337,9.793565750
1783635953.093942,-0.018264510,-0.067897730,0.568352759,0.000097229,-0.000262828,-0.000032685,0.654267251,-0.202432200,9.760236740
1783635953.095917,-0.018263554,-0.067899793,0.568355441,0.000112984,-0.000765654,0.000315772,0.668527484,-0.173502520,9.761781693
1783635953.097950,-0.018262295,-0.067896381,0.568350732,0.000223244,-0.000464065,0.000086098,0.664897323,-0.177017957,9.758616447
1783635953.099919,-0.018264268,-0.067897551,0.568351090,0.000088327,-0.000115160,-0.000225253,0.638015926,-0.174325064,9.743366241
1783635953.101917,-0.018264208,-0.067899860,0.568355083,-0.000051839,-0.000260169,0.000141350,0.678309739,-0.142822027,9.777231216
1783635953.104034,-0.018259721,-0.067895345,0.568350017,0.000176919,0.000047041,0.000014102,0.687986255,-0.160291836,9.759195328
1783635953.105938,-0.018258406,-0.067890838,0.568348527,0.000403785,0.000740495,-0.000454972,0.690847754,-0.144806653,9.781713486
1783635953.107917,-0.018261174,-0.067892119,0.568347335,0.000183431,0.000762077,-0.000511166,0.674135506,-0.191159025,9.777364731
1783635953.109917,-0.018265311,-0.067891195,0.568347871,-0.000341606,0.000546744,-0.000391502,0.685274959,-0.197593302,9.780024529
1783635953.111921,-0.018268032,-0.067891926,0.568349719,-0.000706142,0.000424353,-0.000087486,0.653892815,-0.194951043,9.780011177
1783635953.113922,-0.018264830,-0.067891367,0.568351865,-0.000430082,0.000274912,0.000206718,0.650910199,-0.182313845,9.772468567
